Instance10PP5Act3Res5TResMinUnc0.0MaxUnc0.2Seed1.dat
75097	17338	63896	16613	78220	
88640	87298	71052	39194	46499	
42010	5925	33932	34326	90693	
19910	15516	19747	54946	66679	
31774	100324	88387	56692	77546	
39209	22330	78785	84014	61422	
45211	12616	100558	80098	104416	
108028	50823	56868	38295	1342	
83005	28755	86386	89298	63944	
99991	5104	91941	68741	89853	
0	93354	665516	136726	1363923	136932	2060921	148889	2772740	138450	3473580	140668	4185071	141108	4882808	145941	5593599	128868	6292571	146558	7003906	141961	7705537	130394	8407884	137034	9106337	144580	
0	52059	820419	80047	1809002	103194	2735006	79152	3767395	113338	4702611	96980	5622448	96666	6579822	95595	7593321	109216	8578796	88261	
192963	135232	790106	133832	1386635	145413	1993959	136012	2592058	134123	3187394	142222	3791463	140838	4394316	147489	5005144	146737	5613514	147868	6223533	136283	6820863	134930	7419285	141961	8022960	132333	8617253	150263	9229641	148285	
292529	73596	941545	66998	1618921	66218	2271349	60382	2908769	55992	3536745	61219	4189063	67199	4777221	59698	5417421	65372	6009476	64808	6664076	79286	7328187	60266	7957349	65987	8548243	65906	9208875	69070	
287187	116973	1144288	118157	1949741	117455	2616269	117088	3397272	116997	4150343	117072	5001851	117537	5782493	117115	6554993	117567	7336122	117286	8218308	117195	9033315	117470	
