10	5	3	5	31820712.1695827	962.2942
67764	16038	63321	13859	78038	
125021	89326	80651	40655	33655	
52205	5502	42040	22344	85159	
21476	15024	20011	37260	70046	
32387	108024	94974	59639	80015	
43429	22701	83139	84770	61192	
49580	12798	101998	74956	106750	
117276	51890	58912	47686	1501	
83203	28359	81157	86620	63969	
101439	5108	82526	84750	88914	
466347	104849	1435103	131528	2438549	106511	3159355	105983	3880754	151099	4783917	129727	5737817	166572	6751393	113971	7647147	138143	8714262	132027	9465165	127470	10331382	106366	11123165	129746	12100044	119813	
434654	243800	1275956	145982	2050322	199866	2761107	115803	3528340	163608	4207368	127577	4971768	149867	5629538	164821	6236289	123416	6916179	204054	7818560	81518	8278008	151082	9017997	180472	9837857	123489	10429589	201238	11209191	110512	11910286	112286	
398529	68817	931090	60304	1428478	46910	1997468	63603	2457480	55659	3005305	60253	3563213	52817	4202836	69232	4962873	78149	5624447	54994	5946490	60963	6466168	52993	7039966	55934	7653936	77282	8243608	67139	8916585	69334	9389927	68916	10005567	54276	10327438	33418	10819200	29848	11291454	51973	11755139	34345	12193056	65356	
267540	169136	1002218	173813	1883885	158558	2730437	161432	3539527	218172	4680324	231910	5691090	212590	6523094	151444	7309344	186346	8348610	144815	9318465	154609	10109659	136076	11012719	168542	11918201	138311	
139049	150314	802999	108503	1270926	186728	2165201	137183	3253110	137869	4080189	180937	4825924	92267	5323660	247939	6357825	126222	7085561	188991	7811410	171154	8498490	203944	9203324	176199	10059665	140503	10795627	216013	11517168	177322	12210377	128436	
