50 0
36 297 0
100 166 0
11 70 0
104 270 0
186 202 0
215 94 0
65 153 0
3 93 0
135 116 0
74 72 0
195 148 0
213 122 0
176 213 0
189 234 0
181 283 0
113 134 0
103 203 0
89 156 0
129 208 0
38 144 0
61 137 0
236 193 0
151 289 0
199 88 0
132 220 0
146 260 0
190 258 0
18 118 0
155 110 0
105 215 0
162 221 0
175 204 0
79 203 0
193 136 0
232 183 0
92 89 0
226 82 0
121 261 0
45 229 0
42 288 0
237 142 0
194 273 0
219 254 0
55 120 0
51 182 0
115 263 0
63 291 0
137 229 0
208 98 0
217 159 0
