50 0
231 228 0
151 146 0
126 262 0
141 146 0
136 215 0
75 173 0
210 169 0
215 282 0
19 144 0
165 276 0
212 101 0
213 138 0
123 62 0
1 231 0
169 241 0
4 239 0
158 257 0
26 216 0
214 112 0
185 209 0
105 95 0
178 212 0
16 260 0
233 170 0
132 183 0
27 289 0
181 161 0
58 108 0
73 261 0
99 249 0
43 195 0
124 163 0
10 262 0
64 85 0
140 242 0
62 265 0
237 268 0
46 286 0
36 117 0
22 297 0
163 292 0
203 272 0
208 149 0
183 294 0
52 101 0
204 209 0
113 116 0
227 189 0
119 268 0
167 192 0
