50 0
140 280 0
61 217 0
68 247 0
73 159 0
249 146 0
127 279 0
49 218 0
71 221 0
106 238 0
76 172 0
10 161 0
47 277 0
118 273 0
215 153 0
43 266 0
32 269 0
153 273 0
112 171 0
129 76 0
53 94 0
146 218 0
83 288 0
20 175 0
85 111 0
111 241 0
126 200 0
182 63 0
224 146 0
119 119 0
8 256 0
211 269 0
251 126 0
143 208 0
17 299 0
89 215 0
178 124 0
187 148 0
240 274 0
247 152 0
234 86 0
188 118 0
80 206 0
75 163 0
219 93 0
81 211 0
132 146 0
13 220 0
204 186 0
152 189 0
145 142 0
