50 0
227 121 0
214 111 0
207 73 0
172 149 0
8 145 0
220 190 0
9 231 0
85 193 0
211 68 0
182 188 0
181 126 0
45 117 0
218 139 0
219 87 0
132 250 0
57 126 0
106 230 0
175 181 0
251 244 0
108 246 0
2 134 0
0 112 0
96 208 0
134 232 0
135 232 0
100 276 0
194 298 0
94 167 0
242 179 0
152 182 0
71 259 0
70 143 0
183 148 0
7 216 0
149 230 0
58 236 0
43 136 0
49 218 0
133 128 0
150 266 0
243 297 0
170 163 0
121 143 0
118 61 0
55 61 0
125 65 0
116 170 0
47 114 0
56 140 0
126 173 0
