100 0
79 194 0
59 208 0
210 299 0
220 284 0
82 290 0
49 228 0
80 237 0
230 177 0
72 265 0
172 266 0
1 190 0
53 203 0
108 188 0
133 190 0
105 229 0
35 124 0
214 99 0
207 63 0
16 135 0
62 284 0
33 197 0
156 98 0
122 226 0
40 171 0
246 194 0
211 87 0
250 233 0
204 69 0
139 247 0
61 220 0
6 145 0
249 184 0
86 94 0
203 96 0
117 155 0
92 178 0
84 244 0
174 187 0
243 68 0
184 207 0
180 95 0
142 92 0
83 201 0
89 177 0
26 127 0
125 276 0
47 159 0
205 224 0
91 259 0
70 113 0
8 81 0
97 101 0
27 144 0
51 189 0
216 75 0
58 145 0
215 110 0
191 152 0
228 263 0
48 259 0
129 116 0
164 259 0
165 118 0
236 298 0
157 261 0
161 223 0
234 66 0
189 120 0
36 90 0
116 229 0
64 65 0
63 264 0
81 178 0
114 87 0
221 204 0
126 209 0
208 199 0
178 278 0
118 113 0
169 138 0
252 275 0
237 182 0
188 101 0
11 65 0
128 243 0
88 191 0
146 206 0
195 167 0
20 283 0
56 150 0
55 225 0
2 142 0
123 202 0
4 251 0
74 215 0
22 70 0
15 112 0
163 196 0
96 262 0
13 68 0
