100 0
126 221 0
99 89 0
134 153 0
7 270 0
52 142 0
57 162 0
162 139 0
1 114 0
129 203 0
197 149 0
187 216 0
117 231 0
24 68 0
168 143 0
230 138 0
237 194 0
0 284 0
200 281 0
160 182 0
225 150 0
93 299 0
147 155 0
50 239 0
74 152 0
125 209 0
19 293 0
217 267 0
20 83 0
6 157 0
221 284 0
195 106 0
161 109 0
210 173 0
82 194 0
100 100 0
55 154 0
83 150 0
88 234 0
135 131 0
35 223 0
71 279 0
123 282 0
153 257 0
182 153 0
213 89 0
36 97 0
31 82 0
215 63 0
80 249 0
49 267 0
243 277 0
9 229 0
222 249 0
176 147 0
192 119 0
205 243 0
130 291 0
136 152 0
152 169 0
85 214 0
101 288 0
223 67 0
212 228 0
145 133 0
140 265 0
3 280 0
144 106 0
252 70 0
21 252 0
184 203 0
108 110 0
64 274 0
91 160 0
198 213 0
185 294 0
191 150 0
166 172 0
66 119 0
87 256 0
169 220 0
236 277 0
194 206 0
183 99 0
219 137 0
73 119 0
12 104 0
95 199 0
92 136 0
10 199 0
228 150 0
110 72 0
196 183 0
27 86 0
128 274 0
142 167 0
216 129 0
59 280 0
239 258 0
149 193 0
56 76 0
