1;23493;7223.64;
1_10p_ti;22795;7225.16;
1_20p_ti;22832;7229.57;
2;24824;7225.09;
2_10p_ti;23858;7226.75;
2_20p_ti;23314;7231.24;
3;24379;7223.62;
3_10p_ti;22192;7225.34;
3_20p_ti;21730;7228.98;
4;26687;7222.64;
4_10p_ti;25709;7224.04;
4_20p_ti;25284;7228.26;
5;21911;7223.12;
5_10p_ti;22959;7225.32;
5_20p_ti;23275;7229.08;
6;23056;7224.77;
6_10p_ti;22470;7226.87;
6_20p_ti;22123;7229.18;
7;23882;7223.53;
7_10p_ti;23358;7225.4;
7_20p_ti;22890;7229.34;
8;23945;7224.55;
8_10p_ti;23244;7225.08;
8_20p_ti;22608;7228.88;
9;23171;7224.48;
9_10p_ti;22539;7225.47;
9_20p_ti;22301;7229.51;
10;24136;7224.77;
10_10p_ti;23158;7226.43;
10_20p_ti;22670;7230.61;
11;25034;7224.35;
11_10p_ti;24308;7225.92;
11_20p_ti;23778;7229.94;
12;25541;7223.61;
12_10p_ti;24714;7225.51;
12_20p_ti;24162;7229.75;
13;24885;7224.32;
13_10p_ti;23861;7225.22;
13_20p_ti;23256;7230.28;
14;27658;7222.47;
14_10p_ti;27158;7224.32;
14_20p_ti;26306;7228.24;
15;23394;7223.78;
15_10p_ti;22987;7226.86;
15_20p_ti;22575;7229.37;
16;25122;7224.24;
16_10p_ti;24111;7225.72;
16_20p_ti;23679;7230.45;
17;25327;7222.54;
17_10p_ti;24243;7226.03;
17_20p_ti;23495;7228.79;
18;22725;7223.23;
18_10p_ti;22273;7225.18;
18_20p_ti;22000;7229.49;
19;26810;7222.68;
19_10p_ti;25829;7225.14;
19_20p_ti;25289;7228.67;
20;24501;7222.41;
20_10p_ti;23417;7225.94;
20_20p_ti;23032;7229.97;
