100 0
225 112 0
2 202 0
24 127 0
117 100 0
105 218 0
75 254 0
148 207 0
166 274 0
200 243 0
234 64 0
134 204 0
177 94 0
71 166 0
111 210 0
30 165 0
224 155 0
113 263 0
209 87 0
109 92 0
85 131 0
18 119 0
63 60 0
86 218 0
183 108 0
58 88 0
112 220 0
114 259 0
187 231 0
10 226 0
241 287 0
120 108 0
233 186 0
250 245 0
48 259 0
230 298 0
239 160 0
56 255 0
217 174 0
252 76 0
213 207 0
5 176 0
52 194 0
229 60 0
139 91 0
55 188 0
197 98 0
144 274 0
53 169 0
220 64 0
174 116 0
0 154 0
231 70 0
57 89 0
145 152 0
44 279 0
173 121 0
49 162 0
21 184 0
62 183 0
32 199 0
223 269 0
129 127 0
99 217 0
228 86 0
248 116 0
226 207 0
22 109 0
204 163 0
69 79 0
246 254 0
61 155 0
190 104 0
67 216 0
232 209 0
221 118 0
87 296 0
192 158 0
29 92 0
123 66 0
25 77 0
45 215 0
208 248 0
179 196 0
169 148 0
50 282 0
41 294 0
212 233 0
210 135 0
108 76 0
140 276 0
168 122 0
6 76 0
191 104 0
11 189 0
251 142 0
81 124 0
47 132 0
238 149 0
186 176 0
188 86 0
