100 0
101 79 0
176 189 0
249 243 0
118 294 0
82 155 0
231 93 0
136 101 0
10 297 0
64 199 0
191 267 0
89 70 0
195 227 0
34 208 0
229 111 0
250 158 0
87 205 0
7 280 0
52 257 0
232 132 0
49 180 0
79 236 0
228 63 0
107 81 0
202 185 0
93 244 0
134 253 0
179 119 0
251 170 0
120 154 0
0 236 0
222 114 0
129 130 0
200 79 0
97 110 0
193 109 0
122 269 0
209 234 0
12 265 0
18 87 0
112 78 0
252 130 0
140 154 0
29 167 0
53 212 0
78 191 0
106 108 0
151 62 0
156 298 0
91 140 0
154 136 0
224 253 0
105 158 0
206 255 0
6 191 0
123 87 0
128 117 0
247 75 0
153 87 0
74 184 0
127 269 0
69 246 0
76 226 0
73 245 0
244 210 0
135 71 0
117 117 0
86 134 0
84 117 0
103 163 0
158 119 0
182 114 0
233 250 0
44 264 0
94 249 0
216 234 0
9 97 0
35 281 0
167 149 0
47 296 0
57 184 0
162 299 0
46 249 0
4 201 0
23 223 0
149 239 0
163 102 0
25 169 0
212 236 0
62 194 0
225 164 0
75 174 0
40 143 0
165 289 0
33 169 0
63 104 0
220 120 0
133 209 0
199 122 0
213 279 0
81 152 0
