100 0
59 68 0
162 210 0
232 168 0
204 280 0
115 261 0
114 177 0
174 237 0
51 156 0
143 283 0
108 185 0
129 267 0
12 99 0
123 290 0
50 244 0
109 191 0
145 117 0
90 144 0
127 77 0
158 268 0
45 234 0
186 156 0
34 79 0
94 125 0
6 176 0
187 193 0
57 125 0
241 203 0
41 267 0
111 208 0
33 164 0
167 209 0
31 269 0
221 260 0
198 206 0
231 142 0
173 246 0
215 90 0
197 281 0
104 170 0
110 140 0
116 240 0
191 263 0
141 61 0
182 142 0
156 77 0
79 182 0
76 140 0
9 262 0
118 274 0
83 211 0
214 214 0
13 174 0
144 79 0
216 234 0
138 78 0
105 133 0
84 265 0
183 162 0
19 217 0
235 162 0
130 251 0
14 183 0
199 251 0
113 119 0
220 171 0
247 231 0
246 253 0
64 105 0
243 78 0
17 194 0
223 273 0
103 191 0
92 174 0
125 187 0
10 137 0
22 218 0
189 266 0
28 260 0
208 197 0
38 244 0
202 175 0
226 265 0
181 76 0
75 172 0
73 230 0
170 76 0
225 269 0
39 256 0
157 190 0
2 113 0
96 182 0
29 252 0
248 139 0
244 234 0
147 181 0
0 82 0
222 159 0
135 118 0
200 204 0
240 282 0
