50 0
184 218 0
187 110 0
229 67 0
183 69 0
25 179 0
166 252 0
6 274 0
26 89 0
215 184 0
94 82 0
127 100 0
201 173 0
253 97 0
20 295 0
42 144 0
197 183 0
212 121 0
38 224 0
146 186 0
53 174 0
124 140 0
134 225 0
186 67 0
18 217 0
33 100 0
202 67 0
113 179 0
112 150 0
27 196 0
79 247 0
241 198 0
175 255 0
118 196 0
10 202 0
236 197 0
195 250 0
171 143 0
136 234 0
11 119 0
210 175 0
138 265 0
160 168 0
162 280 0
34 288 0
54 100 0
219 270 0
100 152 0
117 180 0
233 245 0
245 99 0
