100 0
185 294 0
156 184 0
34 212 0
50 299 0
232 246 0
250 291 0
221 222 0
157 296 0
15 153 0
169 61 0
58 190 0
11 193 0
43 271 0
165 94 0
103 103 0
27 221 0
241 264 0
102 160 0
160 225 0
196 290 0
151 175 0
254 283 0
143 159 0
41 91 0
145 212 0
100 97 0
248 238 0
19 169 0
139 94 0
71 108 0
195 160 0
98 238 0
112 241 0
204 100 0
7 266 0
142 72 0
218 60 0
249 69 0
119 203 0
239 235 0
236 86 0
64 80 0
223 126 0
79 274 0
177 283 0
171 193 0
33 257 0
68 263 0
108 161 0
52 273 0
42 71 0
167 161 0
63 224 0
123 253 0
159 267 0
126 126 0
211 273 0
173 263 0
107 118 0
80 65 0
161 149 0
164 75 0
4 99 0
228 269 0
240 154 0
191 101 0
213 129 0
198 195 0
28 170 0
216 257 0
233 89 0
13 152 0
109 228 0
18 211 0
77 129 0
65 251 0
121 79 0
148 184 0
3 111 0
91 230 0
226 108 0
215 268 0
129 210 0
70 66 0
180 60 0
188 125 0
245 285 0
72 96 0
140 274 0
242 192 0
192 117 0
37 213 0
97 90 0
115 131 0
133 238 0
122 181 0
247 233 0
147 163 0
158 273 0
5 132 0
