50 0
65 128 0
215 117 0
118 227 0
120 116 0
148 227 0
216 150 0
252 154 0
66 195 0
43 154 0
58 278 0
179 286 0
202 98 0
87 161 0
105 192 0
78 170 0
109 236 0
60 199 0
56 126 0
18 133 0
219 285 0
174 205 0
239 87 0
80 215 0
52 238 0
25 144 0
153 216 0
207 106 0
172 84 0
104 247 0
203 231 0
173 110 0
12 138 0
161 95 0
116 131 0
113 80 0
213 204 0
154 165 0
223 272 0
136 219 0
206 246 0
195 227 0
10 258 0
114 239 0
55 219 0
108 287 0
189 280 0
51 65 0
197 138 0
226 128 0
67 267 0
