100 0
29 246 0
2 120 0
12 271 0
1 114 0
105 273 0
203 204 0
88 257 0
49 259 0
214 156 0
149 169 0
98 250 0
181 157 0
234 65 0
221 105 0
47 234 0
159 109 0
143 194 0
46 92 0
218 130 0
191 179 0
120 277 0
40 93 0
34 193 0
77 97 0
226 237 0
73 260 0
103 205 0
125 213 0
93 171 0
57 142 0
224 276 0
17 114 0
239 212 0
244 154 0
208 276 0
220 150 0
215 133 0
50 165 0
13 232 0
237 167 0
62 181 0
37 201 0
132 164 0
176 159 0
85 106 0
79 65 0
45 99 0
32 138 0
172 287 0
15 288 0
150 254 0
166 190 0
196 292 0
74 179 0
38 160 0
16 235 0
195 198 0
137 212 0
173 136 0
231 82 0
87 129 0
14 176 0
139 239 0
184 138 0
205 83 0
64 139 0
249 235 0
148 257 0
199 210 0
110 211 0
151 82 0
94 80 0
101 257 0
90 226 0
104 275 0
66 226 0
183 63 0
145 152 0
229 178 0
117 295 0
10 145 0
154 168 0
76 178 0
56 100 0
241 161 0
72 129 0
134 264 0
250 285 0
240 86 0
152 177 0
100 157 0
61 101 0
25 278 0
164 133 0
24 116 0
180 133 0
190 233 0
163 68 0
169 93 0
80 235 0
