# INSTANCE: InstancesTDTSP/inst_30_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 18442 -1
* 0 16416 -1
* 0.01 16172 -1
* 0.08 16078 -1
* 0.08 16076 -1
* 0.08 16075 -1
* 0.47 15958 -1
* 0.48 15931 -1
* 0.48 15910 -1
* 0.53 15881 -1
* 0.55 15820 -1
* 0.56 15773 -1
* 0.78 15753 -1
* 55.34 15746 -1
* 55.35 15412 -1
* 55.92 15359 -1
* 55.92 15300 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 15300
# NUMBER OF BRANCHES: 141310521
# END TIME: 3600
## No TDTSP solution found.
