# INSTANCE: InstancesTDTSP/inst_20_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 19128 -1
* 0.01 14512 -1
* 0.01 12619 -1
* 0.03 12508 -1
* 0.13 12341 -1
* 0.3 12137 -1
* 0.3 12073 -1
* 0.31 12048 -1
* 0.31 12034 -1
* 0.46 12033 -1
* 0.47 11980 -1
* 0.59 11834 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11834
# NUMBER OF BRANCHES: 31436
# END TIME: 0.59
## No TDTSP solution found.
