# INSTANCE: InstancesTDTSP/inst_50_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 27043 -1
* 0 26995 -1
* 0.01 26609 -1
* 0.01 26514 -1
* 0.04 25682 -1
* 0.1 25604 -1
* 0.32 25600 -1
* 0.38 25573 -1
* 0.38 25239 -1
* 0.39 25208 -1
* 0.41 25076 -1
* 0.42 25038 -1
* 0.42 25017 -1
* 0.42 24944 -1
* 0.42 24933 -1
* 0.43 24901 -1
* 0.43 24818 -1
* 0.45 24789 -1
* 0.45 24779 -1
* 0.47 24704 -1
* 0.47 24692 -1
* 0.5 24670 -1
* 0.54 24222 -1
* 1.74 24028 -1
* 1.75 23647 -1
* 1.75 23532 -1
* 1.88 23488 -1
* 2.51 23374 -1
* 2.51 23343 -1
* 2.52 23321 -1
* 2.59 23298 -1
* 3.23 23257 -1
* 3.27 23219 -1
* 1381.45 23206 -1
* 1381.48 23205 -1
* 1381.49 23174 -1
* 1381.56 23127 -1
* 1381.57 23096 -1
* 1381.66 22952 -1
* 1381.7 22907 -1
* 1382.79 22878 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22878
# NUMBER OF BRANCHES: 247492583
# END TIME: 7200
## No TDTSP solution found.
