# INSTANCE: InstancesTDTSP/inst_50_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 30533 -1
* 0 26271 -1
* 0.01 25562 -1
* 0.01 25324 -1
* 0.03 25303 -1
* 0.12 25241 -1
* 0.12 25224 -1
* 0.13 25205 -1
* 0.13 25202 -1
* 0.13 25080 -1
* 0.14 24484 -1
* 0.14 24468 -1
* 0.14 24453 -1
* 0.15 24380 -1
* 0.16 24250 -1
* 0.16 24083 -1
* 0.16 24063 -1
* 0.16 23937 -1
* 0.16 23834 -1
* 0.16 23746 -1
* 0.16 23739 -1
* 0.16 23675 -1
* 0.17 23533 -1
* 0.17 23512 -1
* 0.18 23501 -1
* 0.19 23404 -1
* 0.2 23364 -1
* 0.2 23109 -1
* 0.2 23051 -1
* 0.21 23024 -1
* 0.22 23016 -1
* 0.24 22919 -1
* 0.24 22866 -1
* 0.24 22790 -1
* 1.45 22785 -1
* 1.45 22767 -1
* 24.3 22714 -1
* 24.3 22657 -1
* 24.31 22604 -1
* 24.31 22567 -1
* 24.34 22492 -1
* 24.47 22480 -1
* 24.59 22353 -1
* 24.59 22330 -1
* 109.14 22320 -1
* 109.14 22267 -1
* 109.15 22192 -1
* 109.15 22177 -1
* 109.16 22168 -1
* 109.16 22116 -1
* 109.16 22099 -1
* 109.17 22086 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22086
# NUMBER OF BRANCHES: 384541161
# END TIME: 7200
## No TDTSP solution found.
