# INSTANCE: InstancesTDTSP/inst_30_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 18110 -1
* 0 17592 -1
* 0.06 17346 -1
* 0.06 17250 -1
* 0.06 17051 -1
* 0.07 16751 -1
* 0.07 16691 -1
* 0.09 16663 -1
* 0.17 16351 -1
* 0.18 16268 -1
* 0.19 16149 -1
* 0.19 15958 -1
* 0.2 15620 -1
* 0.21 15577 -1
* 0.21 15567 -1
* 0.21 15513 -1
* 0.22 15430 -1
* 0.65 15390 -1
* 0.66 15354 -1
* 0.82 15317 -1
* 1.07 15300 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 15300
# NUMBER OF BRANCHES: 125001295
# END TIME: 3600
## No TDTSP solution found.
