# INSTANCE: InstancesTDTSP/inst_100_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 2.46 49934 -1
* 3.86 49930 -1
* 3.87 49413 -1
* 3.88 49355 -1
* 3.89 49237 -1
* 3.89 49201 -1
* 3.91 49147 -1
* 3.91 49130 -1
* 3.92 49120 -1
* 3.92 48618 -1
* 3.95 48607 -1
* 3.96 48577 -1
* 3.99 48457 -1
* 4.03 48430 -1
* 4.15 48164 -1
* 4.15 47939 -1
* 4.23 47847 -1
* 4.25 47758 -1
* 4.27 47749 -1
* 4.42 47638 -1
* 4.6 47570 -1
* 4.62 47484 -1
* 4.64 47483 -1
* 4.79 47193 -1
* 4.8 47187 -1
* 4.81 47177 -1
* 4.83 47146 -1
* 4.85 47102 -1
* 4.86 47097 -1
* 4.86 45904 -1
* 4.86 45884 -1
* 4.88 45874 -1
* 4.88 45820 -1
* 4.88 45806 -1
* 4.88 45751 -1
* 4.89 45719 -1
* 4.93 45647 -1
* 4.94 45506 -1
* 4.95 45462 -1
* 4.95 45424 -1
* 4.96 45401 -1
* 4.96 43421 -1
* 4.98 43408 -1
* 4.98 43340 -1
* 4.98 43193 -1
* 4.99 42639 -1
* 5.01 42619 -1
* 5.05 42588 -1
* 5.11 42560 -1
* 5.11 42528 -1
* 5.12 42502 -1
* 5.12 40806 -1
* 5.13 40785 -1
* 5.15 40744 -1
* 5.2 40657 -1
* 5.21 40529 -1
* 5.28 40482 -1
* 5.31 40452 -1
* 5.31 40417 -1
* 5.33 40401 -1
* 5.36 40384 -1
* 12.6 40332 -1
* 12.61 40318 -1
* 13.08 40222 -1
* 13.12 40218 -1
* 13.99 40209 -1
* 14.07 40190 -1
* 14.34 40168 -1
* 14.56 40161 -1
* 14.77 40138 -1
* 14.8 40114 -1
* 14.84 40101 -1
* 14.91 40094 -1
* 14.94 40091 -1
* 32.53 40075 -1
* 32.65 40056 -1
* 105.37 40032 -1
* 105.4 40031 -1
* 105.49 40011 -1
* 105.55 40004 -1
* 105.87 39981 -1
* 105.88 39973 -1
* 106.2 39914 -1
* 106.72 39891 -1
* 106.73 39812 -1
* 106.79 39746 -1
* 106.84 39644 -1
* 114.71 39638 -1
* 114.83 39610 -1
* 114.92 39608 -1
* 133.11 39561 -1
* 133.13 39549 -1
* 133.13 39543 -1
* 133.17 39525 -1
* 133.55 39470 -1
* 134.12 39410 -1
* 149.26 39402 -1
* 149.28 39398 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39398
# NUMBER OF BRANCHES: 172327197
# END TIME: 7200.01
## No TDTSP solution found.
