# INSTANCE: InstancesTDTSP/inst_50_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 23356 -1
* 0.01 23248 -1
* 0.01 22955 -1
* 0.05 22919 -1
* 0.06 22842 -1
* 0.18 22813 -1
* 0.2 22724 -1
* 0.23 22712 -1
* 0.23 22662 -1
* 1.35 22152 -1
* 1.35 22087 -1
* 1.35 22081 -1
* 1.39 22075 -1
* 1.41 22046 -1
* 1.45 21923 -1
* 1.45 21913 -1
* 1.68 21894 -1
* 1.69 21844 -1
* 1.72 21807 -1
* 1.77 21656 -1
* 2.01 21606 -1
* 2.01 21576 -1
* 2.02 21575 -1
* 2.06 21572 -1
* 2.1 21494 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21494
# NUMBER OF BRANCHES: 344012327
# END TIME: 7200.01
## No TDTSP solution found.
