# INSTANCE: InstancesTDTSP/inst_30_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 17395 -1
* 0 17297 -1
* 0.03 17234 -1
* 0.03 17225 -1
* 0.04 17161 -1
* 0.04 17158 -1
* 0.09 17145 -1
* 0.09 17024 -1
* 0.09 16998 -1
* 0.1 16986 -1
* 0.1 16614 -1
* 0.11 16535 -1
* 0.11 16472 -1
* 0.11 16408 -1
* 0.13 16400 -1
* 1926.01 16315 -1
* 2007.18 16308 -1
* 2007.18 16304 -1
* 2007.19 16117 -1
* 2007.22 16017 -1
* 2007.22 15995 -1
* 2007.62 15986 -1
* 2007.62 15968 -1
* 2007.62 15959 -1
* 2007.63 15901 -1
* 2007.63 15875 -1
* 2007.65 15833 -1
* 2007.74 15716 -1
* 2007.75 15663 -1
* 2007.75 15621 -1
* 2007.77 15595 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 15595
# NUMBER OF BRANCHES: 129218356
# END TIME: 3162.03
## No TDTSP solution found.
