# INSTANCE: InstancesTDTSP/inst_100_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 53160 -1
* 0.03 52300 -1
* 0.04 52230 -1
* 0.04 51679 -1
* 0.07 51073 -1
* 0.09 51067 -1
* 0.09 51047 -1
* 0.09 50927 -1
* 0.11 50809 -1
* 0.11 50427 -1
* 0.12 50288 -1
* 0.14 50239 -1
* 0.15 50204 -1
* 0.17 50165 -1
* 0.18 50074 -1
* 0.19 49782 -1
* 0.19 49745 -1
* 0.23 48750 -1
* 0.23 48654 -1
* 0.25 48578 -1
* 0.26 48501 -1
* 0.26 48413 -1
* 0.27 48363 -1
* 0.28 48029 -1
* 0.31 47959 -1
* 0.34 47811 -1
* 0.37 47609 -1
* 0.4 47598 -1
* 0.41 47568 -1
* 0.42 47476 -1
* 0.47 47441 -1
* 0.55 47393 -1
* 0.55 47334 -1
* 0.58 46861 -1
* 0.62 46820 -1
* 1.62 46002 -1
* 1.63 45800 -1
* 1.64 45770 -1
* 1.73 44620 -1
* 1.73 44440 -1
* 1.73 44411 -1
* 1.79 44240 -1
* 1.79 44154 -1
* 1.84 44073 -1
* 1.85 44052 -1
* 1.86 44020 -1
* 1.87 44000 -1
* 1.87 43865 -1
* 1.88 43765 -1
* 1.96 43727 -1
* 31.84 43693 -1
* 31.85 43691 -1
* 31.96 43668 -1
* 31.97 43657 -1
* 32.02 43544 -1
* 32.04 43518 -1
* 32.07 43461 -1
* 32.09 43423 -1
* 32.11 43406 -1
* 32.17 43399 -1
* 32.19 43346 -1
* 32.31 43329 -1
* 32.32 43318 -1
* 139.73 43312 -1
* 345.52 43272 -1
* 345.57 43235 -1
* 345.6 43189 -1
* 345.62 43169 -1
* 347.79 42966 -1
* 347.8 42950 -1
* 347.81 42930 -1
* 347.84 42907 -1
* 347.85 42866 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42866
# NUMBER OF BRANCHES: 203458680
# END TIME: 7200.01
## No TDTSP solution found.
