# INSTANCE: InstancesTDTSP/inst_100_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 1.8 52200 -1
* 3.51 52094 -1
* 9.91 51891 -1
* 9.93 51744 -1
* 9.94 51635 -1
* 9.95 51592 -1
* 9.96 51572 -1
* 9.98 51567 -1
* 9.99 51546 -1
* 10.03 51510 -1
* 10.04 51469 -1
* 10.06 51445 -1
* 10.08 51413 -1
* 10.12 51240 -1
* 10.14 51191 -1
* 10.18 50889 -1
* 10.23 50876 -1
* 10.33 50868 -1
* 10.53 50755 -1
* 10.67 50464 -1
* 10.7 50453 -1
* 10.73 50356 -1
* 10.83 50332 -1
* 11.03 50221 -1
* 11.06 50015 -1
* 11.18 49944 -1
* 11.19 49336 -1
* 11.37 49069 -1
* 11.44 49033 -1
* 20.44 49032 -1
* 20.5 48989 -1
* 20.52 48784 -1
* 21.42 48767 -1
* 22.36 48760 -1
* 22.37 48612 -1
* 22.51 48529 -1
* 23.16 48517 -1
* 23.2 48332 -1
* 23.97 48283 -1
* 24.02 48206 -1
* 24.27 48120 -1
* 24.27 48040 -1
* 24.87 48015 -1
* 24.89 48006 -1
* 24.92 47965 -1
* 24.93 47949 -1
* 25.18 47842 -1
* 25.19 47823 -1
* 25.22 47725 -1
* 25.26 47659 -1
* 25.51 47648 -1
* 25.52 47633 -1
* 25.53 47617 -1
* 25.53 47465 -1
* 25.61 47463 -1
* 25.85 47351 -1
* 25.87 47316 -1
* 25.88 47296 -1
* 25.88 47293 -1
* 26.72 47280 -1
* 27 47269 -1
* 27.02 47199 -1
* 27.05 47171 -1
* 27.05 47134 -1
* 27.14 47080 -1
* 27.91 47060 -1
* 27.93 47055 -1
* 28.51 47029 -1
* 28.56 47016 -1
* 29.92 46926 -1
* 29.98 46895 -1
* 30.24 46877 -1
* 30.31 46843 -1
* 36.78 46826 -1
* 36.84 46823 -1
* 36.9 46752 -1
* 36.94 46751 -1
* 36.98 46731 -1
* 36.98 46718 -1
* 37.2 46708 -1
* 37.2 46705 -1
* 38.77 46697 -1
* 38.78 46680 -1
* 38.91 46619 -1
* 38.91 46521 -1
* 39.21 46508 -1
* 39.24 46492 -1
* 44.11 46479 -1
* 44.23 46463 -1
* 44.44 46442 -1
* 44.5 46289 -1
* 44.51 46262 -1
* 44.75 46180 -1
* 44.76 46163 -1
* 44.92 46104 -1
* 45 46074 -1
* 45.12 45983 -1
* 45.12 45928 -1
* 45.14 45730 -1
* 45.17 45707 -1
* 45.21 45625 -1
* 45.3 45506 -1
* 45.31 45434 -1
* 45.37 45421 -1
* 45.46 45417 -1
* 45.64 45413 -1
* 46.08 45411 -1
* 46.1 45378 -1
* 46.13 45348 -1
* 50.99 45340 -1
* 51 45314 -1
* 51.49 45162 -1
* 51.49 45037 -1
* 51.5 45034 -1
* 51.51 45024 -1
* 80.44 44959 -1
* 80.49 44958 -1
* 80.51 44933 -1
* 80.57 44917 -1
* 80.74 44914 -1
* 80.8 44887 -1
* 80.84 44885 -1
* 80.87 44874 -1
* 84.99 44852 -1
* 119.74 44810 -1
* 119.78 44783 -1
* 119.78 44778 -1
* 119.9 44777 -1
* 120.13 44752 -1
* 120.15 44749 -1
* 120.78 44733 -1
* 120.83 44731 -1
* 120.91 44723 -1
* 121.1 44720 -1
* 276.6 44672 -1
* 1840.86 44633 -1
* 1841.19 44630 -1
* 1841.42 44617 -1
* 1841.59 44611 -1
* 1841.79 44602 -1
* 1847.92 44516 -1
* 2014.8 44306 -1
* 2014.84 44169 -1
* 2014.85 44158 -1
* 2014.88 44021 -1
* 2014.89 43950 -1
* 2014.9 43948 -1
* 2014.91 43764 -1
* 2014.92 43762 -1
* 2014.99 43741 -1
* 2015.84 43710 -1
* 2015.87 43661 -1
* 2015.87 43635 -1
* 2015.88 43513 -1
* 2015.88 43486 -1
* 2015.9 43485 -1
* 2015.91 43464 -1
* 2015.93 43460 -1
* 2015.96 43457 -1
* 2016.49 43454 -1
* 2023.54 43281 -1
* 2034.44 43273 -1
* 2034.57 43264 -1
* 2035.13 43260 -1
* 2035.16 43256 -1
* 2067.09 43179 -1
* 2067.2 43176 -1
* 2067.21 43167 -1
* 2067.96 43164 -1
* 2068.31 43160 -1
* 2069.48 43122 -1
* 2096.38 43064 -1
* 2109.24 43024 -1
* 2258.16 43020 -1
* 2259.3 43018 -1
* 2259.3 43012 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 43012
# NUMBER OF BRANCHES: 215583518
# END TIME: 7200.01
## No TDTSP solution found.
