# INSTANCE: InstancesTDTSP/inst_100_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 44173 -1
* 0.02 44088 -1
* 0.02 43163 -1
* 0.11 43128 -1
* 0.13 43107 -1
* 0.15 43089 -1
* 0.15 43054 -1
* 0.16 42959 -1
* 0.17 42913 -1
* 0.17 42440 -1
* 0.18 42426 -1
* 0.18 42343 -1
* 0.18 42320 -1
* 0.24 42299 -1
* 0.24 42152 -1
* 0.27 42151 -1
* 0.29 42082 -1
* 0.29 42024 -1
* 0.32 41922 -1
* 0.37 41758 -1
* 0.39 41697 -1
* 0.42 41675 -1
* 0.43 41481 -1
* 0.53 41363 -1
* 0.54 41325 -1
* 0.56 41285 -1
* 0.6 41276 -1
* 0.61 41259 -1
* 0.63 41099 -1
* 0.65 41075 -1
* 0.69 40731 -1
* 0.84 40598 -1
* 0.84 40587 -1
* 0.84 40454 -1
* 0.88 40262 -1
* 16.75 39810 -1
* 16.77 39784 -1
* 17.03 39772 -1
* 17.39 39750 -1
* 17.47 39629 -1
* 17.52 39622 -1
* 17.57 39580 -1
* 17.59 39576 -1
* 18.02 39534 -1
* 18.45 39528 -1
* 18.55 39515 -1
* 18.69 39482 -1
* 23.3 39202 -1
* 23.3 39156 -1
* 23.31 39135 -1
* 23.47 39093 -1
* 23.49 39091 -1
* 23.52 39068 -1
* 23.6 39050 -1
* 285.08 39011 -1
* 285.11 38965 -1
* 285.19 38951 -1
* 285.23 38868 -1
* 285.27 38856 -1
* 285.29 38759 -1
* 285.31 38716 -1
* 285.31 38632 -1
* 285.35 38563 -1
* 285.46 38553 -1
* 285.66 38514 -1
* 285.73 38453 -1
* 287.38 38435 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38435
# NUMBER OF BRANCHES: 181861025
# END TIME: 7200.01
## No TDTSP solution found.
