# INSTANCE: InstancesTDTSP/inst_50_4_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 24722 -1
* 0.05 24666 -1
* 0.07 24660 -1
* 0.07 24600 -1
* 0.09 24586 -1
* 0.09 24556 -1
* 0.12 24326 -1
* 0.13 24297 -1
* 0.14 24285 -1
* 0.15 24106 -1
* 0.75 24100 -1
* 1.34 24020 -1
* 1.37 23977 -1
* 1.43 23936 -1
* 1.49 23849 -1
* 1.71 23806 -1
* 1.73 23742 -1
* 2.13 23723 -1
* 6.9 23519 -1
* 6.93 23421 -1
* 6.96 23375 -1
* 6.97 23361 -1
* 7.08 23350 -1
* 7.1 23325 -1
* 7.61 23283 -1
* 7.68 23204 -1
* 8.03 23179 -1
* 8.04 23137 -1
* 8.12 23131 -1
* 8.26 23124 -1
* 8.29 23115 -1
* 8.34 23097 -1
* 38.98 23095 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 23095
# NUMBER OF BRANCHES: 301029885
# END TIME: 7200
## No TDTSP solution found.
