1;39249;7424.96;
1_10p_ti;39336;7428.84;
1_20p_ti;36884;7485.01;
2;36015;7420.4;
2_10p_ti;35065;7446.4;
2_20p_ti;34793;7480.4;
3;36807;7437.36;
3_10p_ti;37240;7447.03;
3_20p_ti;37000;7493.53;
4;39631;7422.82;
4_10p_ti;38954;7439.06;
4_20p_ti;39558;7479.75;
5;37377;7429.83;
5_10p_ti;35852;7425.04;
5_20p_ti;34580;7464.87;
6;38312;7429.02;
6_10p_ti;36508;7447.25;
6_20p_ti;34950;7489.34;
7;40371;7430.53;
7_10p_ti;37971;7437.21;
7_20p_ti;36395;7486.87;
8;39302;7433.27;
8_10p_ti;39325;7448.26;
8_20p_ti;37250;7486.78;
9;38189;7433.94;
9_10p_ti;36813;7441.13;
9_20p_ti;35808;7482.01;
10;40021;7423.74;
10_10p_ti;37958;7445.43;
10_20p_ti;37185;7477.6;
11;40486;7435.53;
11_10p_ti;40937;7446.39;
11_20p_ti;39210;7480.68;
12;41122;7429.54;
12_10p_ti;38727;7450.32;
12_20p_ti;37730;7489.71;
13;39439;7433.65;
13_10p_ti;38188;7442.31;
13_20p_ti;37023;7489.73;
14;38089;7433.21;
14_10p_ti;36358;7451.06;
14_20p_ti;35553;7479.84;
15;39826;7419.96;
15_10p_ti;39706;7427.22;
15_20p_ti;38680;7466.1;
16;39128;7435.11;
16_10p_ti;38964;7445.76;
16_20p_ti;37010;7483.66;
17;41595;7416.89;
17_10p_ti;40181;7435.29;
17_20p_ti;39438;7479.84;
18;39582;7415.06;
18_10p_ti;39486;7442.04;
18_20p_ti;37977;7486.38;
19;40032;7433;
19_10p_ti;38459;7436.66;
19_20p_ti;38071;7481.77;
20;40163;7422.32;
20_10p_ti;38212;7429.33;
20_20p_ti;36619;7472.11;
