# INSTANCE: InstancesTDTSP/inst_100_7_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 49421 -1
* 0.03 49418 -1
* 0.04 49358 -1
* 0.06 49198 -1
* 0.07 49107 -1
* 0.2 49017 -1
* 0.21 48980 -1
* 0.22 48825 -1
* 0.24 48732 -1
* 0.27 48729 -1
* 0.27 48496 -1
* 0.28 48395 -1
* 0.3 48323 -1
* 0.31 48103 -1
* 0.31 48032 -1
* 0.32 47853 -1
* 0.32 47847 -1
* 0.33 47673 -1
* 0.34 47610 -1
* 0.35 47582 -1
* 0.36 47567 -1
* 0.36 47366 -1
* 0.37 47267 -1
* 0.37 47238 -1
* 0.38 47229 -1
* 0.39 47082 -1
* 0.4 47000 -1
* 0.43 46938 -1
* 0.43 46839 -1
* 0.43 46780 -1
* 0.43 46773 -1
* 0.45 46765 -1
* 0.45 46666 -1
* 0.52 46502 -1
* 0.52 46393 -1
* 0.55 46372 -1
* 0.57 46339 -1
* 0.64 46219 -1
* 0.66 46068 -1
* 0.73 46030 -1
* 0.73 45954 -1
* 0.79 45929 -1
* 8.32 45900 -1
* 8.34 45878 -1
* 8.37 45848 -1
* 8.8 45836 -1
* 9.2 45720 -1
* 9.42 45635 -1
* 9.91 45624 -1
* 9.93 45610 -1
* 10.47 45576 -1
* 11.01 45536 -1
* 11.01 45534 -1
* 11.08 45530 -1
* 11.39 45518 -1
* 11.56 45517 -1
* 14.14 45468 -1
* 14.14 45452 -1
* 14.16 45351 -1
* 14.45 45328 -1
* 14.46 45323 -1
* 14.47 45266 -1
* 14.5 45218 -1
* 14.53 45181 -1
* 14.59 45162 -1
* 14.7 45135 -1
* 14.71 45088 -1
* 14.84 45020 -1
* 14.85 45015 -1
* 14.86 44977 -1
* 14.86 44968 -1
* 15.01 44924 -1
* 15.11 44770 -1
* 15.31 44658 -1
* 15.31 44513 -1
* 15.32 44510 -1
* 15.32 44495 -1
* 15.48 44492 -1
* 15.65 44490 -1
* 16.18 44422 -1
* 16.19 44067 -1
* 16.22 44064 -1
* 16.26 44049 -1
* 16.26 43975 -1
* 16.27 43881 -1
* 16.27 43864 -1
* 16.27 43811 -1
* 16.28 43786 -1
* 16.54 43731 -1
* 16.55 43716 -1
* 16.7 43683 -1
* 16.7 43599 -1
* 16.75 43490 -1
* 16.94 43487 -1
* 16.94 43441 -1
* 16.95 43423 -1
* 17.36 43383 -1
* 17.38 43351 -1
* 17.42 43305 -1
* 17.55 43204 -1
* 17.83 43191 -1
* 30.14 43190 -1
* 30.17 43164 -1
* 30.17 43120 -1
* 30.18 43098 -1
* 30.22 43068 -1
* 30.22 42932 -1
* 30.28 42837 -1
* 30.32 42827 -1
* 49.51 42816 -1
* 53.75 42756 -1
* 53.81 42483 -1
* 53.82 42372 -1
* 53.89 42296 -1
* 53.91 42078 -1
* 53.95 41994 -1
* 53.97 41914 -1
* 54.02 41884 -1
* 54.53 41732 -1
* 54.57 41627 -1
* 54.6 41615 -1
* 54.74 41585 -1
* 54.8 41579 -1
* 54.82 41536 -1
* 54.85 41500 -1
* 54.94 41473 -1
* 55.17 41424 -1
* 55.29 41395 -1
* 55.29 41346 -1
* 55.3 41306 -1
* 55.36 41250 -1
* 55.48 41211 -1
* 56.01 41197 -1
* 56.09 41118 -1
* 78.41 41114 -1
* 78.5 41113 -1
* 78.51 41091 -1
* 78.59 41075 -1
* 78.68 40955 -1
* 177.34 40949 -1
* 177.37 40902 -1
* 177.37 40840 -1
* 177.38 40832 -1
* 177.49 40813 -1
* 177.68 40647 -1
* 177.77 40580 -1
* 179.68 40560 -1
* 179.69 40559 -1
* 187.09 40556 -1
* 187.11 40513 -1
* 187.11 40511 -1
* 187.17 40492 -1
* 187.28 40433 -1
* 187.55 40374 -1
* 893.46 40346 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40346
# NUMBER OF BRANCHES: 221343478
# END TIME: 7200
## No TDTSP solution found.
