# INSTANCE: InstancesTDTSP/inst_50_15_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 33236 -1
* 0.01 30435 -1
* 0.01 23366 -1
* 0.02 22912 -1
* 0.03 22851 -1
* 0.04 22805 -1
* 89.87 22510 -1
* 89.87 22499 -1
* 89.88 22491 -1
* 89.94 22389 -1
* 89.95 22333 -1
* 90.96 22327 -1
* 91.26 22250 -1
* 91.45 22195 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 22195
# NUMBER OF BRANCHES: 235434772
# END TIME: 7200
## No TDTSP solution found.
