DETAILS|NAMES,modeler,instance,modelParams,timeRatio,lbRatio,ubRatio,completionRatio,feasibleRatio,evolution
DETAILS|KEYS,1,1,1,0,0,0,0,0,0
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HA1.dat,,1,1.9391,0.918211,1,1,11
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HA3.dat,,1,2.11833,0.965517,1,1,17
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HA4.dat,,1,2.23881,0.954217,1,1,16
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HA7.dat,,1,1.84211,0.89625,1,1,7
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HA10.dat,,1,1.78632,0.869619,1,1,4
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HB2.dat,,1,1.36963,0.869172,1,1,3
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HB4.dat,,1,1.66071,0.864428,1,1,2
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HB6.dat,,1,1.78056,0.910273,1,1,9
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HB8.dat,,1,1.55505,0.879544,1,1,5
DETAILS,MultiStageHybridFlowShop,20-jobs/2010HB10.dat,,1,1.52508,0.923024,1,1,12
DETAILS,MultiStageHybridFlowShop,50-jobs/5010HA4.dat,,1,4.44718,0.938576,1,1,14
DETAILS,MultiStageHybridFlowShop,50-jobs/5010HA5.dat,,1,3.57163,0.912662,1,1,10
DETAILS,MultiStageHybridFlowShop,50-jobs/5010HA9.dat,,1,3.53271,0.942923,1,1,15
DETAILS,MultiStageHybridFlowShop,50-jobs/5010HB1.dat,,1,2.54463,0.899467,1,1,8
DETAILS,MultiStageHybridFlowShop,50-jobs/5010HB5.dat,,1,2.74751,0.859742,1,1,1
DETAILS,MultiStageHybridFlowShop,100-jobs/H10HA1.dat,,1,7.34759,1.01997,1,1,19
DETAILS,MultiStageHybridFlowShop,100-jobs/H10HA3.dat,,1,8.19323,0.985602,1,1,18
DETAILS,MultiStageHybridFlowShop,100-jobs/H10HB5.dat,,1,4.6318,0.933122,1,1,13
DETAILS,MultiStageHybridFlowShop,100-jobs/H10HB8.dat,,1,4.91176,0.842497,1,1,0
DETAILS,MultiStageHybridFlowShop,100-jobs/H10HB9.dat,,1,4.90579,0.885451,1,1,6

MODELS|NAMES,modeler,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
MODELS|KEYS,1,0,0,0,0,0,0,0,0,0,0,0,0
MODELS,MultiStageHybridFlowShop,1,0,0,2.78109,20,0,0.912447,1,19,1,0,19

GLOBAL|NAMES,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
GLOBAL|KEYS,0,0,0,0,0,0,0,0,0,0,0,0
GLOBAL,1,0,0,2.78109,20,0,0.912447,1,19,1,0,19
