ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HA1.dat,,1210,,,,1565,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HA3.dat,,1468,,,,1653,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HA4.dat,,1500,,,,1660,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HA7.dat,,1295,,,,1600,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HA10.dat,,1254,,,,1603,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HB2.dat,,956,,,,1437,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HB4.dat,,1116,,,,1608,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HB6.dat,,1136,,,,1538,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HB8.dat,,1017,,,,1403,,, 
BESTSOFAR,MultiStageHybridFlowShop,20-jobs/2010HB10.dat,,912,,,,1442,,, 

BESTSOFAR,MultiStageHybridFlowShop,50-jobs/5010HA4.dat,,3073,,,,3370,,, 
BESTSOFAR,MultiStageHybridFlowShop,50-jobs/5010HA5.dat,,2493,,,,3080,,, 
BESTSOFAR,MultiStageHybridFlowShop,50-jobs/5010HA9.dat,,2646,,,,3031,,, 
BESTSOFAR,MultiStageHybridFlowShop,50-jobs/5010HB1.dat,,1967,,,,2815,,, 
BESTSOFAR,MultiStageHybridFlowShop,50-jobs/5010HB5.dat,,2209,,,,3023,,, 

BESTSOFAR,MultiStageHybridFlowShop,100-jobs/H10HA1.dat,,5327,,,,5557,,, 
BESTSOFAR,MultiStageHybridFlowShop,100-jobs/H10HA3.dat,,5809,,,,6112,,, 
BESTSOFAR,MultiStageHybridFlowShop,100-jobs/H10HB5.dat,,3321,,,,4740,,, 
BESTSOFAR,MultiStageHybridFlowShop,100-jobs/H10HB8.dat,,3674,,,,5238,,, 
BESTSOFAR,MultiStageHybridFlowShop,100-jobs/H10HB9.dat,,3645,,,,4880,,, 
