ILOG_CSV_FORMAT,1.1

GENERAL|NAMES,date,time,hostName,CPU,MHz,memory,search,comment,timeLimit,commandLine
GENERAL|KEYS,0,0,0,0,0,0,0,0,0,0
GENERAL,,,,,,,SchedulerLNS,,10,-result RCPSPEarliTardi.csv -search SchedulerLNS -timelimit 10 -scenarii X:\dev\scheduler-papers\mista-2007\scenarii\RCPSPEarliTardi\all.csv

RESULT|NAMES, modeler, instance, modelParams, time, numberOfSolutions, acceptable, lb, ub, completion, objectiveSense, runId
RESULT|KEYS, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
RESULT, RCPSPEarliTardi, mv1000_1.25.rcp, , 0.015625, 2, 0, 179, 468, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1000_1.75.rcp, , 0.015625, 3, 0, 25, 319, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1000_2.25.rcp, , 0.046875, 3, 0, 0, 289, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1001_1.25.rcp, , 0.078125, 5, 0, 7, 812, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1001_1.75.rcp, , 0.046875, 2, 0, 0, 455, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1001_2.25.rcp, , 0, 1, 0, 0, 91, 100, -1, 0
RESULT, RCPSPEarliTardi, mv100_1.25.rcp, , 0.03125, 2, 0, 88, 462, 100, -1, 0
RESULT, RCPSPEarliTardi, mv100_1.75.rcp, , 0.03125, 2, 0, 69, 395, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1002_1.25.rcp, , 0.015625, 2, 0, 35, 563, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1002_1.75.rcp, , 0, 2, 0, 0, 299, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1002_2.25.rcp, , 0.046875, 2, 0, 0, 166, 100, -1, 0
RESULT, RCPSPEarliTardi, mv100_2.25.rcp, , 0.015625, 3, 0, 0, 241, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1003_1.25.rcp, , 0.15625, 4, 0, 27, 709, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1003_1.75.rcp, , 0.046875, 3, 0, 0, 298, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1003_2.25.rcp, , 0.046875, 2, 0, 0, 214, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1004_1.25.rcp, , 0.109375, 4, 0, 0, 647, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1004_1.75.rcp, , 0.03125, 2, 0, 0, 161, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1004_2.25.rcp, , 0.03125, 3, 0, 0, 167, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1005_1.25.rcp, , 0, 1, 0, 1432, 1985, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1005_1.75.rcp, , 0.046875, 3, 0, 28, 170, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1005_2.25.rcp, , 0, 2, 0, 0, 93, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1006_1.25.rcp, , 1.46875, 2, 0, 328, 893, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1006_1.75.rcp, , 0.390625, 3, 0, 0, 275, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1006_2.25.rcp, , 0.078125, 3, 0, 77, 226, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1007_1.25.rcp, , 0.171875, 2, 0, 224, 778, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1007_1.75.rcp, , 0.171875, 7, 0, 0, 295, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1007_2.25.rcp, , 0.140625, 6, 0, 0, 265, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1008_1.25.rcp, , 0.1875, 5, 0, 11, 440, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1008_1.75.rcp, , 0.5625, 6, 0, 52, 260, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1008_2.25.rcp, , 9.84375, 10, 0, 27, 140, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1009_1.25.rcp, , 0.375, 4, 0, 0, 685, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1009_1.75.rcp, , 0.0625, 3, 0, 25, 340, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1009_2.25.rcp, , 0.015625, 2, 0, 0, 194, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1010_1.25.rcp, , 0.03125, 2, 0, 36, 824, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1010_1.75.rcp, , 0.015625, 1, 0, 36, 392, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1010_2.25.rcp, , 0.046875, 2, 0, 0, 180, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1011_1.25.rcp, , 0.0625, 3, 0, 30, 373, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1011_1.75.rcp, , 0.03125, 2, 0, 27, 168, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1011_2.25.rcp, , 0, 1, 0, 0, 111, 100, -1, 0
RESULT, RCPSPEarliTardi, mv101_1.25.rcp, , 0.015625, 2, 0, 58, 308, 100, -1, 0
RESULT, RCPSPEarliTardi, mv101_1.75.rcp, , 0.015625, 4, 0, 0, 129, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1012_1.25.rcp, , 0.625, 7, 0, 323, 1504, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1012_1.75.rcp, , 0.015625, 1, 0, 27, 164, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1012_2.25.rcp, , 0.015625, 2, 0, 0, 90, 100, -1, 0
RESULT, RCPSPEarliTardi, mv101_2.25.rcp, , 0.03125, 2, 0, 0, 79, 100, -1, 0
RESULT, RCPSPEarliTardi, mv10_1.25.rcp, , 0.015625, 3, 0, 0, 257, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1013_1.25.rcp, , 0.09375, 7, 0, 57, 662, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1013_1.75.rcp, , 0.0625, 3, 0, 0, 258, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1013_2.25.rcp, , 0, 1, 0, 27, 210, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1014_1.25.rcp, , 0.015625, 3, 0, 9, 578, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1014_1.75.rcp, , 0.0625, 4, 0, 18, 537, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1014_2.25.rcp, , 0.03125, 3, 0, 0, 192, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1015_1.25.rcp, , 0.0625, 3, 0, 84, 521, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1015_1.75.rcp, , 0.03125, 3, 0, 0, 315, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1015_2.25.rcp, , 0.046875, 3, 0, 9, 251, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1016_1.25.rcp, , 0.046875, 3, 0, 51, 349, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1016_1.75.rcp, , 0.265625, 6, 0, 8, 160, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1016_2.25.rcp, , 0.078125, 3, 0, 0, 150, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1017_1.25.rcp, , 0.171875, 6, 0, 318, 488, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1017_1.75.rcp, , 0.03125, 4, 0, 51, 333, 100, -1, 0
RESULT, RCPSPEarliTardi, mv1017_2.25.rcp, , 0.125, 5, 0, 27, 172, 100, -1, 0
