# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.015 53956 -1
* 0.021 53736 -1
* 0.03 53676 -1
* 0.056 53550 -1
* 0.067 53485 -1
* 0.103 53455 -1
* 0.169 52680 -1
* 0.215 52158 -1
* 0.241 51872 -1
* 0.304 51731 -1
* 0.321 51649 -1
* 0.357 51494 -1
* 0.373 51280 -1
* 0.49 51148 -1
* 0.493 51048 -1
* 0.5 51012 -1
* 0.509 51006 -1
* 0.522 50978 -1
* 0.539 50793 -1
* 0.588 50755 -1
* 2.368 50546 -1
* 2.449 49605 -1
* 2.678 49462 -1
* 3.088 49359 -1
* 3.133 49358 -1
* 3.205 49231 -1
* 3.332 48713 -1
* 3.347 48493 -1
* 3.534 48176 -1
* 3.937 47872 -1
* 3.96 47762 -1
* 15.372 47186 -1
* 15.38 47145 -1
* 15.782 47108 -1
* 15.807 47090 -1
* 15.809 47057 -1
* 15.816 46967 -1
* 16.249 46910 -1
* 16.266 46885 -1
* 16.455 46827 -1
* 16.457 46794 -1
* 16.487 46750 -1
* 16.524 46675 -1
* 16.647 46630 -1
* 16.684 46578 -1
* 16.796 45668 -1
* 16.811 45550 -1
* 17.271 45442 -1
* 17.284 45319 -1
* 17.316 45220 -1
* 17.451 45205 -1
* 17.474 45105 -1
* 17.969 44606 -1
* 22.613 43578 -1
* 22.684 43177 -1
* 22.76 43127 -1
* 22.776 43113 -1
* 22.85 43110 -1
* 22.974 43105 -1
* 23.431 42468 -1
* 24.873 42422 -1
* 24.881 42373 -1
* 24.935 42342 -1
* 24.96 42326 -1
* 25.009 42325 -1
* 25.143 42187 -1
* 25.148 42143 -1
* 25.15 42113 -1
* 25.272 42104 -1
* 25.331 42098 -1
* 25.411 42069 -1
* 25.42 41955 -1
* 25.439 41903 -1
* 25.514 41901 -1
* 25.765 41878 -1
* 25.782 41841 -1
* 25.813 41826 -1
* 25.817 41784 -1
* 25.82 41770 -1
* 25.925 41584 -1
* 25.927 41542 -1
* 25.934 41533 -1
* 26.66 41504 -1
* 26.676 41423 -1
* 26.747 41373 -1
* 26.859 41169 -1
* 26.865 41006 -1
* 26.999 41005 -1
* 27.108 41002 -1
* 27.138 40957 -1
* 27.347 40910 -1
* 27.374 40906 -1
* 27.488 40897 -1
* 27.575 40884 -1
* 27.812 40627 -1
* 27.815 40582 -1
* 28.346 40562 -1
* 28.35 40508 -1
* 32.472 40318 -1
* 32.609 40305 -1
* 33.071 40290 -1
* 34.543 40278 -1
* 48.064 40253 -1
* 48.111 40247 -1
* 48.152 40233 -1
* 48.154 40183 -1
* 48.178 40158 -1
* 48.896 40146 -1
* 48.907 40122 -1
* 48.923 40085 -1
* 50.145 40071 -1
* 50.153 40050 -1
* 50.169 39982 -1
* 50.397 39969 -1
* 50.405 39967 -1
* 50.486 39930 -1
* 50.609 39879 -1
* 50.772 39755 -1
* 50.815 39639 -1
* 50.827 39553 -1
* 50.843 39541 -1
* 50.845 39531 -1
* 50.861 39370 -1
* 50.891 39124 -1
* 50.893 39106 -1
* 50.9 39017 -1
* 50.902 39010 -1
* 50.905 38981 -1
* 50.92 38940 -1
* 50.925 38905 -1
* 50.935 38876 -1
* 96.646 38805 -1
* 96.87 38624 -1
* 100.857 38594 -1
* 117.988 38405 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38405
# NUMBER OF BRANCHES: 10394566
# END TIME: 300.032
## Solution with TDTSP times: 
100
80 0
79 298
75 636
210 822
77 1122
131 1326
85 1622
70 2049
204 2414
73 2676
205 3030
209 3196
76 3443
69 3891
221 4379
34 5347
65 5875
121 6060
40 6354
47 6688
126 6866
27 7453
118 7796
233 8063
245 8286
26 8578
218 43543
220 44135
