# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.015 56928 -1
* 0.02 56526 -1
* 0.107 55974 -1
* 0.126 55888 -1
* 0.164 55614 -1
* 0.24 55431 -1
* 0.245 55272 -1
* 0.28 55065 -1
* 0.301 54769 -1
* 0.33 54425 -1
* 0.35 54220 -1
* 0.351 54206 -1
* 0.363 54109 -1
* 0.462 53828 -1
* 0.542 53534 -1
* 0.685 53507 -1
* 0.748 53481 -1
* 2.183 53396 -1
* 2.702 53235 -1
* 2.748 52757 -1
* 2.852 52205 -1
* 2.894 51998 -1
* 2.897 51781 -1
* 2.906 51760 -1
* 2.909 51714 -1
* 2.964 51685 -1
* 2.966 51670 -1
* 12.066 51614 -1
* 12.193 51421 -1
* 12.228 51405 -1
* 12.698 51038 -1
* 12.998 50901 -1
* 13.024 50899 -1
* 13.052 50782 -1
* 13.48 50736 -1
* 13.699 50442 -1
* 14.645 50348 -1
* 14.655 50215 -1
* 15.012 50149 -1
* 19.758 50057 -1
* 19.806 50007 -1
* 19.818 49986 -1
* 23.864 49742 -1
* 23.896 49542 -1
* 56.885 49333 -1
* 56.91 49049 -1
* 56.915 49042 -1
* 56.937 49026 -1
* 56.98 48826 -1
* 57.076 48745 -1
* 57.145 48661 -1
* 57.174 48644 -1
* 57.251 48585 -1
* 57.255 48481 -1
* 57.366 48478 -1
* 57.384 48448 -1
* 57.763 48301 -1
* 57.771 48249 -1
* 57.908 48236 -1
* 57.932 48178 -1
* 57.989 48099 -1
* 58.007 47839 -1
* 58.334 47717 -1
* 58.342 47472 -1
* 58.348 47467 -1
* 58.361 47419 -1
* 58.368 47224 -1
* 58.372 47193 -1
* 58.413 47028 -1
* 58.415 46937 -1
* 58.445 46851 -1
* 58.456 46809 -1
* 58.462 46766 -1
* 58.476 46673 -1
* 58.48 46611 -1
* 58.483 46608 -1
* 58.487 46584 -1
* 58.494 46581 -1
* 58.499 46554 -1
* 58.52 46519 -1
* 58.54 46491 -1
* 58.581 46426 -1
* 58.587 46400 -1
* 58.603 46329 -1
* 58.617 46303 -1
* 58.627 46277 -1
