50 0
41 105 0
11 160 0
154 72 0
153 211 0
157 190 0
13 107 0
29 230 0
217 241 0
189 220 0
242 90 0
78 190 0
131 197 0
202 199 0
45 224 0
26 254 0
224 73 0
169 245 0
187 72 0
2 253 0
98 179 0
102 290 0
156 257 0
51 163 0
253 172 0
180 194 0
3 156 0
58 236 0
168 68 0
54 104 0
152 196 0
175 152 0
12 260 0
214 183 0
71 190 0
220 151 0
206 83 0
230 247 0
75 144 0
162 244 0
192 269 0
60 267 0
88 135 0
43 95 0
223 192 0
200 192 0
108 148 0
19 159 0
193 297 0
47 152 0
161 71 0
