100 0
208 136 0
22 290 0
7 64 0
79 147 0
242 213 0
2 286 0
113 72 0
182 74 0
235 229 0
8 107 0
25 213 0
171 85 0
194 268 0
137 162 0
122 239 0
174 63 0
21 182 0
98 206 0
17 95 0
206 235 0
213 202 0
75 150 0
0 295 0
77 182 0
175 132 0
119 282 0
173 99 0
233 266 0
161 164 0
158 220 0
237 94 0
184 84 0
27 225 0
102 66 0
130 216 0
115 296 0
20 177 0
91 137 0
198 86 0
50 67 0
136 221 0
34 108 0
37 250 0
148 98 0
129 225 0
124 84 0
215 213 0
100 177 0
165 210 0
202 274 0
209 234 0
218 134 0
53 291 0
80 107 0
95 149 0
183 192 0
11 169 0
168 116 0
234 236 0
149 74 0
222 109 0
45 255 0
251 277 0
210 244 0
241 131 0
107 180 0
104 136 0
232 99 0
26 281 0
179 147 0
239 198 0
69 168 0
151 273 0
201 72 0
38 122 0
63 63 0
19 146 0
76 193 0
243 159 0
154 185 0
61 236 0
51 156 0
200 226 0
172 76 0
157 283 0
33 132 0
217 217 0
81 297 0
13 142 0
14 174 0
121 116 0
40 223 0
199 264 0
245 95 0
88 291 0
250 126 0
225 119 0
156 257 0
145 281 0
82 286 0
