# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.011 53495 -1
* 0.014 52760 -1
* 0.027 52329 -1
* 0.095 52269 -1
* 0.107 51766 -1
* 0.119 51325 -1
* 0.123 50913 -1
* 0.128 50860 -1
* 0.17 50846 -1
* 0.185 50282 -1
* 0.198 50068 -1
* 0.208 49162 -1
* 0.285 48897 -1
* 0.305 48856 -1
* 0.319 48311 -1
* 0.33 48176 -1
* 0.352 47976 -1
* 0.469 47418 -1
* 0.5 47297 -1
* 0.526 45885 -1
* 0.531 45860 -1
* 0.561 45018 -1
* 0.565 44789 -1
* 0.567 44757 -1
* 0.57 44630 -1
* 0.576 44521 -1
* 0.579 44420 -1
* 0.585 44405 -1
* 0.614 44404 -1
* 0.63 44391 -1
* 0.67 44345 -1
* 0.687 44331 -1
* 1.632 44324 -1
* 1.641 44320 -1
* 1.663 44314 -1
* 1.674 44267 -1
* 1.69 44250 -1
* 1.692 44204 -1
* 1.733 44200 -1
* 1.734 44126 -1
* 1.748 43822 -1
* 1.752 43818 -1
* 1.788 43804 -1
* 1.79 43800 -1
* 1.9 43765 -1
* 2.103 43755 -1
* 2.12 43736 -1
* 2.347 43711 -1
* 2.489 43694 -1
* 2.52 43648 -1
* 2.533 43606 -1
* 2.559 43588 -1
* 8.109 43508 -1
* 13.8 43489 -1
* 13.999 43461 -1
* 14.069 43272 -1
* 14.115 43208 -1
* 14.267 43170 -1
* 14.345 43149 -1
* 14.347 43147 -1
* 14.437 43090 -1
* 14.453 43033 -1
* 14.682 43014 -1
* 14.852 42992 -1
* 14.867 42932 -1
* 14.919 42885 -1
* 17.274 42877 -1
* 24.564 42867 -1
* 24.566 42858 -1
* 24.569 42813 -1
* 24.573 42792 -1
* 24.715 42787 -1
* 25.14 42764 -1
* 25.145 42728 -1
* 25.219 42683 -1
* 25.244 42660 -1
* 46.447 42616 -1
* 46.551 42576 -1
* 46.564 42553 -1
* 46.634 42519 -1
* 46.649 42500 -1
* 46.698 42499 -1
* 46.938 42329 -1
* 47.004 42254 -1
* 47.293 42234 -1
* 47.344 42171 -1
* 47.347 42138 -1
* 47.4 42117 -1
* 47.419 42106 -1
* 47.422 42105 -1
* 47.493 42001 -1
* 47.497 41886 -1
* 47.602 41878 -1
* 47.678 41866 -1
* 47.743 41828 -1
* 47.838 41811 -1
* 48.021 41739 -1
* 48.095 41669 -1
* 48.112 41650 -1
* 48.124 41639 -1
* 48.19 41613 -1
* 48.276 41496 -1
* 51.126 41471 -1
* 51.542 41426 -1
* 52.233 41425 -1
* 57.313 41417 -1
* 57.363 41367 -1
* 57.372 41330 -1
* 57.375 41287 -1
* 60.852 41198 -1
* 61.707 41159 -1
* 61.884 41064 -1
* 61.927 41059 -1
* 64.845 41039 -1
* 65.061 41011 -1
* 65.304 41006 -1
* 65.877 40991 -1
* 65.881 40923 -1
* 66.41 40889 -1
* 66.555 40874 -1
* 66.6 40855 -1
* 66.709 40843 -1
* 67.298 40823 -1
* 67.3 40817 -1
* 67.403 40808 -1
* 67.436 40789 -1
* 67.462 40744 -1
* 67.527 40739 -1
* 67.622 40706 -1
* 67.75 40661 -1
* 67.943 40660 -1
* 67.961 40573 -1
* 79.871 40564 -1
* 80.081 40547 -1
* 80.722 40525 -1
* 83.079 40488 -1
* 83.225 40487 -1
* 91.437 40456 -1
* 92.186 40450 -1
* 92.21 40422 -1
* 92.48 40380 -1
* 95.203 40345 -1
* 147.819 40269 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40269
# NUMBER OF BRANCHES: 6260410
# END TIME: 300.018
## Solution with TDTSP times: 
100
27 0
22 367
254 704
116 1031
31 1396
40 1759
47 2097
42 2502
251 3269
119 3539
215 4011
218 4444
238 5346
19 6235
92 6689
99 6982
57 7484
48 7765
33 8567
125 9119
248 9546
59 10282
55 10921
