# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.011 58212 -1
* 0.022 58116 -1
* 0.029 58003 -1
* 0.036 57989 -1
* 0.046 57833 -1
* 0.134 57816 -1
* 0.223 56863 -1
* 1.771 56469 -1
* 1.807 56285 -1
* 1.89 56166 -1
* 2.055 56058 -1
* 2.078 55880 -1
* 2.159 55745 -1
* 2.248 55572 -1
* 2.263 55411 -1
* 2.423 55180 -1
* 2.809 55096 -1
* 2.856 54812 -1
* 3.017 54452 -1
* 3.135 54130 -1
* 3.294 54112 -1
* 3.604 54111 -1
* 4.196 54053 -1
* 4.222 54047 -1
* 4.238 53884 -1
* 4.338 53851 -1
* 4.742 53703 -1
* 16.629 53624 -1
* 18.587 53551 -1
* 18.679 53484 -1
* 18.686 53417 -1
* 18.739 53328 -1
* 18.769 53080 -1
* 23.49 52854 -1
* 23.505 52591 -1
* 23.551 52589 -1
* 25.6 51897 -1
* 25.645 51737 -1
* 25.655 51632 -1
* 25.659 51622 -1
* 25.892 51504 -1
* 175.431 51480 -1
* 175.436 51457 -1
* 175.442 51446 -1
* 175.453 51319 -1
* 175.47 51260 -1
* 175.477 51064 -1
* 175.492 51031 -1
* 175.635 50981 -1
* 175.663 50925 -1
* 175.676 50843 -1
* 184.419 50477 -1
* 184.423 50448 -1
* 184.889 50435 -1
* 191.037 50221 -1
* 191.37 50193 -1
* 191.373 50105 -1
* 191.421 50079 -1
* 191.706 50003 -1
* 191.709 49979 -1
* 192.152 49753 -1
* 192.167 49713 -1
* 192.169 49642 -1
* 192.176 49356 -1
* 192.311 48266 -1
* 192.316 48209 -1
* 192.32 48198 -1
* 192.327 48140 -1
* 192.33 48119 -1
* 192.332 47801 -1
* 192.598 47767 -1
* 192.697 47736 -1
* 192.709 47721 -1
* 192.713 47656 -1
* 192.718 47597 -1
* 192.729 47388 -1
* 192.733 47326 -1
* 192.747 47188 -1
* 192.772 47131 -1
* 192.824 47095 -1
* 192.827 47091 -1
* 192.846 46843 -1
* 192.865 46790 -1
* 192.868 46769 -1
* 192.886 46731 -1
* 192.928 46725 -1
* 192.991 46691 -1
* 193.001 46617 -1
* 193.009 46579 -1
* 193.03 46551 -1
* 193.068 46525 -1
* 193.08 46521 -1
* 193.088 46447 -1
* 193.118 46415 -1
* 193.13 46405 -1
* 193.144 46391 -1
* 193.203 46353 -1
* 194.382 46308 -1
* 194.398 46290 -1
* 194.404 46252 -1
* 194.436 46238 -1
* 194.453 46228 -1
* 194.455 46181 -1
* 194.458 46174 -1
* 194.464 46141 -1
* 194.511 46140 -1
* 194.565 46106 -1
* 194.579 45941 -1
* 194.588 45940 -1
* 194.592 45803 -1
* 194.616 45802 -1
* 194.624 45753 -1
* 194.848 45736 -1
* 194.902 45718 -1
* 195.3 45582 -1
* 195.313 45578 -1
* 195.334 45545 -1
* 195.339 45479 -1
* 195.451 45470 -1
* 195.714 45450 -1
* 195.721 45419 -1
* 195.725 45415 -1
* 196.321 45404 -1
* 196.93 45349 -1
* 196.933 45331 -1
* 197.242 45240 -1
* 197.374 45226 -1
* 198.334 45215 -1
* 200.23 45184 -1
* 200.625 45169 -1
* 201.316 45166 -1
* 203.952 45149 -1
* 203.963 45133 -1
* 204.01 45105 -1
* 205.131 45092 -1
* 205.135 45083 -1
* 205.137 45067 -1
* 206.376 45052 -1
* 206.413 45048 -1
* 206.524 45032 -1
* 207.166 44893 -1
* 207.479 44890 -1
* 207.487 44826 -1
* 207.523 44717 -1
* 207.641 44652 -1
* 210.249 44626 -1
* 218.139 44611 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 44611
# NUMBER OF BRANCHES: 12440377
# END TIME: 300.03
## Solution with TDTSP times: 
100
235 0
72 345
206 564
82 805
128 1194
79 1575
83 1807
168 2221
71 2435
67 2870
175 3250
171 3852
11 4116
176 4544
172 4722
180 5185
184 5828
106 6825
239 7242
13 7699
66 8594
195 9708
