# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.007 82149 -1
* 0.01 55350 -1
* 0.012 52709 -1
* 0.052 52694 -1
* 0.071 52197 -1
* 0.08 52128 -1
* 0.085 51834 -1
* 0.097 51812 -1
* 0.183 51645 -1
* 0.245 51445 -1
* 1.335 51379 -1
* 8.593 51158 -1
* 8.597 51088 -1
* 8.601 50085 -1
* 8.605 49940 -1
* 8.611 49913 -1
* 8.64 49295 -1
* 8.814 49024 -1
* 9.091 48727 -1
* 9.103 48545 -1
* 9.156 48434 -1
* 9.174 48369 -1
* 9.225 48357 -1
* 9.229 48143 -1
* 9.751 47926 -1
* 9.753 47920 -1
* 9.77 47897 -1
* 9.774 47895 -1
* 9.783 47878 -1
* 9.788 47872 -1
* 9.81 47743 -1
* 9.966 47602 -1
* 9.973 47575 -1
* 10.141 46940 -1
* 10.15 46910 -1
* 10.16 46861 -1
* 10.198 46839 -1
* 10.228 46818 -1
* 10.248 46746 -1
* 10.255 46224 -1
* 10.258 46158 -1
* 10.264 45861 -1
* 10.267 45777 -1
* 10.286 45709 -1
* 10.296 45591 -1
* 10.35 45462 -1
* 10.355 45267 -1
* 10.363 45246 -1
* 10.533 44898 -1
* 10.541 44812 -1
* 10.583 44791 -1
* 10.6 44681 -1
* 10.607 44448 -1
* 10.879 44446 -1
* 10.894 44337 -1
* 10.899 44246 -1
* 11.127 44244 -1
* 11.129 44139 -1
* 11.137 44106 -1
* 11.142 44086 -1
* 11.242 43856 -1
* 11.608 43849 -1
* 12.296 43847 -1
* 13.695 43552 -1
* 13.751 43526 -1
* 13.81 43524 -1
* 13.878 43488 -1
* 13.891 43468 -1
* 14.104 43453 -1
* 14.163 43429 -1
* 14.19 43387 -1
* 14.68 43382 -1
* 14.766 43375 -1
* 14.783 43288 -1
* 14.963 43247 -1
* 14.965 43224 -1
* 14.977 43202 -1
* 15.006 43197 -1
* 15.025 43175 -1
* 15.162 43139 -1
* 15.164 43130 -1
* 15.338 43115 -1
* 15.54 43009 -1
* 15.881 42941 -1
* 16.213 42922 -1
* 16.249 42876 -1
* 16.259 42853 -1
* 16.417 42852 -1
* 16.437 42842 -1
* 17.488 42840 -1
* 17.508 42838 -1
* 17.514 42794 -1
* 17.996 42773 -1
* 18.466 42769 -1
* 19.424 42612 -1
* 19.427 42545 -1
* 19.53 42541 -1
* 20.455 42465 -1
* 20.463 42447 -1
* 20.467 42441 -1
* 20.481 42403 -1
* 22.509 42365 -1
* 22.553 42344 -1
* 22.733 42295 -1
* 22.735 42244 -1
* 22.826 42096 -1
* 22.837 42055 -1
* 22.888 42036 -1
* 23.023 42035 -1
* 23.258 42029 -1
* 23.295 42011 -1
* 23.319 41965 -1
* 23.335 41963 -1
* 23.338 41905 -1
* 23.369 41899 -1
* 23.373 41873 -1
* 23.476 41813 -1
* 23.613 41745 -1
* 23.627 41717 -1
* 24.296 41598 -1
* 24.346 41514 -1
* 24.351 41394 -1
* 24.684 41290 -1
* 24.732 41272 -1
* 25.08 41237 -1
* 25.168 41230 -1
* 25.273 41228 -1
* 29.239 41208 -1
* 30.588 41198 -1
* 34.149 41187 -1
* 34.241 41082 -1
* 37.312 41074 -1
* 37.344 41001 -1
* 37.425 40995 -1
* 87.8 40994 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40994
# NUMBER OF BRANCHES: 7389660
# END TIME: 300.025
## Solution with TDTSP times: 
100
27 0
22 376
215 702
218 1030
251 1525
119 1714
31 2091
254 2320
116 2651
47 3229
40 3520
126 3916
46 4144
37 4402
229 4859
42 5227
123 5763
19 6185
92 6614
99 6896
55 7335
57 7700
48 7974
133 8968
41 9770
35 10320
33 10693
125 11199
248 11599
242 12319
152 12896
191 13367
187 13628
147 13876
