# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_20_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.011 53619 -1
* 0.013 53079 -1
* 0.015 52430 -1
* 0.032 52399 -1
* 0.086 51913 -1
* 0.105 51859 -1
* 0.113 51675 -1
* 0.125 51618 -1
* 0.195 51438 -1
* 0.221 51193 -1
* 0.228 51053 -1
* 0.237 50905 -1
* 1.267 50778 -1
* 1.283 50560 -1
* 1.295 50530 -1
* 1.303 50455 -1
* 1.312 50045 -1
* 1.314 49954 -1
* 1.326 49908 -1
* 1.347 49905 -1
* 1.367 49897 -1
* 1.375 49856 -1
* 1.834 49631 -1
* 1.836 49597 -1
* 1.9 49293 -1
* 1.902 49289 -1
* 1.918 49254 -1
* 1.921 49040 -1
* 1.948 49009 -1
* 1.951 48961 -1
* 1.954 48215 -1
* 1.964 47435 -1
* 1.966 47350 -1
* 1.994 47313 -1
* 2.09 47259 -1
* 2.149 46770 -1
* 2.151 46759 -1
* 2.153 46559 -1
* 2.156 46545 -1
* 2.158 46264 -1
* 2.16 46248 -1
* 2.163 46209 -1
* 2.164 46174 -1
* 2.184 46015 -1
* 2.191 45953 -1
* 2.194 45734 -1
* 2.207 45557 -1
* 2.21 45257 -1
* 2.212 45214 -1
* 2.25 45067 -1
* 2.272 44708 -1
* 2.309 44561 -1
* 2.587 44345 -1
* 2.595 44227 -1
* 2.6 44176 -1
* 2.615 44166 -1
* 2.641 44075 -1
* 2.663 44067 -1
* 2.676 44024 -1
* 2.731 43919 -1
* 2.841 43748 -1
* 2.866 43705 -1
* 10.836 43653 -1
* 11.338 43624 -1
* 11.371 43593 -1
* 11.452 43584 -1
* 11.629 43535 -1
* 11.717 43513 -1
* 11.766 43480 -1
* 11.941 43478 -1
* 16.513 43367 -1
* 16.533 43358 -1
* 17.824 43340 -1
* 17.845 43328 -1
* 18.053 43269 -1
* 18.127 43223 -1
* 18.224 43184 -1
* 18.236 43183 -1
* 35.347 43122 -1
* 35.381 43120 -1
* 35.412 43057 -1
* 35.415 43005 -1
* 35.481 42986 -1
* 35.497 42958 -1
* 35.582 42923 -1
* 35.782 42728 -1
* 35.848 42695 -1
* 36.016 42634 -1
* 49.169 42601 -1
* 49.191 42599 -1
* 49.231 42595 -1
* 49.274 42520 -1
* 49.316 42466 -1
* 49.503 42429 -1
* 49.652 42414 -1
* 49.85 42395 -1
* 49.931 42360 -1
* 49.95 42347 -1
* 50.006 42335 -1
* 50.339 42291 -1
* 50.375 42275 -1
* 50.43 42268 -1
* 50.481 42231 -1
* 50.53 42190 -1
* 50.696 42161 -1
* 51.988 42098 -1
* 52.096 42076 -1
* 52.127 42020 -1
* 52.173 42010 -1
* 52.188 41975 -1
* 52.224 41967 -1
* 52.254 41946 -1
* 52.264 41929 -1
* 52.703 41908 -1
* 52.754 41838 -1
* 52.925 41834 -1
* 54.196 41794 -1
* 54.199 41777 -1
* 54.201 41713 -1
* 54.214 41550 -1
* 54.22 41437 -1
* 54.251 41388 -1
* 54.257 41375 -1
* 54.266 41371 -1
* 54.292 41342 -1
* 54.947 41331 -1
* 54.953 41309 -1
* 55.134 41231 -1
* 55.206 41203 -1
* 55.217 41093 -1
* 55.274 41025 -1
* 55.276 40964 -1
* 55.403 40962 -1
* 55.485 40959 -1
* 55.594 40939 -1
* 55.741 40753 -1
* 55.745 40732 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40732
# NUMBER OF BRANCHES: 11153769
# END TIME: 300.026
## Solution with TDTSP times: 
100
101 0
105 310
134 477
87 805
97 1178
89 1550
91 1840
135 2752
64 3310
232 3699
35 4603
199 5671
103 6325
57 7335
33 8143
228 8420
62 8922
123 9675
49 10088
167 35687
