50 0
57 233 0
145 85 0
91 292 0
90 273 0
147 95 0
31 68 0
195 232 0
159 178 0
198 297 0
112 132 0
191 276 0
183 61 0
80 293 0
227 153 0
238 232 0
120 231 0
84 194 0
114 278 0
200 108 0
81 134 0
151 230 0
85 110 0
35 234 0
192 238 0
235 142 0
39 88 0
18 268 0
94 156 0
83 293 0
74 97 0
212 214 0
32 134 0
241 86 0
137 118 0
211 199 0
19 291 0
219 117 0
233 82 0
70 253 0
36 87 0
221 251 0
161 261 0
164 183 0
69 178 0
59 64 0
9 198 0
239 174 0
229 106 0
104 127 0
58 186 0
