# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.012 55677 88021
* 0.024 55556 87752
* 0.032 55267 87228
* 0.102 55127 86967
* 0.107 55079 86952
* 0.154 54478 89704
* 0.169 54338 89684
* 0.183 53958 89724
* 0.187 53868 91143
* 0.193 53861 90937
* 0.197 53545 90742
* 0.208 53423 90618
* 0.24 53317 90967
* 0.255 53156 90099
* 0.267 53106 90208
* 0.271 52820 90144
* 0.313 52726 91766
* 0.323 51823 90685
* 0.325 51716 90362
* 1.87 51659 91691
* 1.872 51552 91585
* 1.948 51089 91285
* 2.039 50985 91208
* 2.046 50869 91035
* 2.178 50573 90541
* 2.233 50563 90292
* 2.235 50403 90145
* 2.253 50382 90061
* 2.335 50318 90206
* 2.356 50199 90135
* 2.387 49953 89967
* 2.406 49891 89903
* 2.419 49209 89224
* 2.425 49196 89275
* 2.43 49143 89106
* 2.431 49137 89071
* 2.434 48871 88942
* 2.544 48702 88873
* 2.547 48566 88786
* 2.566 48545 88745
* 2.603 48340 87646
* 2.66 47947 88003
* 2.672 47839 88143
* 2.691 46882 87268
* 2.753 46729 87131
* 2.756 46526 86877
* 2.766 46343 86718
* 2.769 46337 86683
* 2.842 46257 86650
* 2.856 46217 86621
* 2.86 46176 86522
* 2.871 46103 86520
* 2.874 46094 86513
* 2.877 46063 86495
* 2.892 46025 86671
* 2.911 45895 86564
* 2.917 45624 86234
* 2.972 45615 86227
* 3.03 45609 86273
* 3.042 45434 85980
* 3.055 45402 85844
* 3.059 45347 85865
* 3.068 44930 85493
* 3.15 44909 85458
* 3.248 44572 85150
* 3.262 44544 85126
* 3.264 44424 85002
* 3.378 44415 84995
* 3.634 44396 85018
* 4.07 44357 -1
* 11.145 44356 -1
* 14.679 44285 -1
* 21.284 44126 -1
* 21.419 44120 -1
* 21.707 44099 -1
* 21.73 44075 -1
* 21.883 43993 -1
* 21.995 43911 -1
* 22.624 43905 -1
* 23.006 43901 -1
* 30.03 43879 -1
* 32.523 43796 -1
* 34.587 43741 -1
* 34.615 43728 -1
* 34.627 43646 -1
* 34.704 43515 -1
* 34.805 43503 -1
* 34.807 43431 -1
* 34.817 43270 -1
* 34.955 43190 -1
* 34.987 43184 -1
* 34.99 43181 -1
* 35.163 43172 -1
* 36.553 42823 -1
* 36.555 42703 -1
* 36.825 42683 -1
* 36.838 42633 -1
* 36.906 42612 -1
* 37.067 42558 -1
* 37.131 42498 -1
* 37.278 42489 -1
* 37.923 42340 -1
* 37.972 42313 -1
* 37.98 41732 -1
* 38.126 41672 -1
* 43.161 41602 -1
* 43.173 41537 -1
* 43.182 41531 -1
* 43.474 41466 -1
* 43.61 41457 -1
* 44.057 41399 -1
* 44.631 41338 -1
* 44.684 41279 -1
* 44.697 41273 -1
* 45.949 41221 -1
* 46.059 41215 -1
* 46.261 41054 -1
* 46.267 41005 -1
* 46.299 40992 -1
* 46.77 40955 -1
* 46.82 40952 -1
* 46.98 40844 -1
* 47.539 40831 -1
* 58.859 40654 -1
* 58.871 40648 -1
* 58.892 40639 -1
* 58.914 40590 -1
* 58.926 40589 -1
* 58.961 40573 -1
* 206.988 40541 -1
* 206.99 40502 -1
* 207.398 40488 -1
* 207.471 40456 -1
* 208.909 40436 -1
* 215.623 40398 -1
* 215.669 40392 -1
* 215.707 40380 -1
* 215.718 40379 -1
* 215.806 40370 -1
* 216.32 40356 -1
* 216.38 40331 -1
* 219.102 40256 -1
* 219.104 40247 -1
* 219.11 40208 -1
* 219.114 40159 -1
* 219.304 40139 -1
* 263.239 40034 -1
* 263.339 40027 -1
* 263.383 40018 -1
* 263.403 39985 -1
* 263.407 39955 -1
* 263.445 39929 -1
* 263.463 39912 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39912
# NUMBER OF BRANCHES: 9502357
# END TIME: 300.028
## Solution with TDTSP times: 
100
243 0
49 167
38 375
122 501
47 785
126 1013
46 1209
37 1353
140 1697
167 2130
151 2585
142 2942
164 3331
165 3625
160 4032
144 4274
162 4554
147 4966
154 5170
155 5541
189 5810
166 6080
43 6553
61 7014
56 7566
36 7962
64 8384
125 8616
232 8847
159 9413
55 29153
135 29280
