50 0
89 87 0
67 181 0
14 188 0
222 179 0
199 155 0
159 236 0
26 75 0
198 86 0
189 82 0
157 232 0
31 198 0
218 298 0
124 71 0
160 279 0
39 288 0
103 133 0
184 86 0
9 69 0
151 120 0
58 61 0
4 240 0
40 220 0
19 187 0
46 201 0
22 81 0
27 221 0
204 138 0
175 69 0
158 193 0
219 128 0
108 269 0
244 170 0
77 248 0
80 201 0
170 87 0
142 125 0
50 150 0
47 204 0
71 236 0
208 167 0
82 114 0
230 225 0
45 225 0
52 181 0
97 128 0
179 155 0
185 115 0
215 224 0
149 184 0
115 70 0
