100 0
73 242 0
36 117 0
149 163 0
205 275 0
162 296 0
198 174 0
146 79 0
22 160 0
154 124 0
100 254 0
169 212 0
172 192 0
39 207 0
3 248 0
163 108 0
197 261 0
83 239 0
114 289 0
183 266 0
111 162 0
97 222 0
58 146 0
107 193 0
136 133 0
5 293 0
211 287 0
129 273 0
4 167 0
165 248 0
18 77 0
77 227 0
202 81 0
206 203 0
47 256 0
8 103 0
140 193 0
41 293 0
125 98 0
116 187 0
7 237 0
156 276 0
6 139 0
171 79 0
213 71 0
203 194 0
153 141 0
251 88 0
212 242 0
110 167 0
98 159 0
27 130 0
80 244 0
175 158 0
174 189 0
190 137 0
99 109 0
178 268 0
201 286 0
12 89 0
151 119 0
184 254 0
92 262 0
185 68 0
101 221 0
138 227 0
64 76 0
237 84 0
245 273 0
2 235 0
60 142 0
247 274 0
124 297 0
228 125 0
200 244 0
147 183 0
248 218 0
143 287 0
109 227 0
85 112 0
46 280 0
68 193 0
195 116 0
160 247 0
76 221 0
167 75 0
102 84 0
72 192 0
106 200 0
50 297 0
127 76 0
192 289 0
233 247 0
53 275 0
59 259 0
81 246 0
144 184 0
86 82 0
215 243 0
187 211 0
70 268 0
