# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.016 55484 -1
* 0.02 55389 -1
* 0.025 54210 -1
* 0.031 54141 -1
* 0.038 54094 -1
* 0.048 54087 -1
* 0.084 53902 -1
* 0.096 53860 -1
* 0.102 53836 -1
* 0.158 53816 -1
* 0.174 53812 -1
* 0.184 53745 -1
* 0.197 53740 -1
* 0.202 53726 -1
* 0.216 53654 -1
* 0.222 53592 -1
* 0.241 53587 -1
* 0.269 53160 -1
* 0.33 53096 -1
* 0.333 52793 -1
* 0.36 52699 -1
* 0.518 52633 -1
* 0.531 52499 -1
* 0.542 52315 -1
* 0.572 51822 -1
* 0.579 51374 -1
* 0.597 51231 -1
* 0.602 51219 -1
* 0.611 51159 -1
* 0.693 50838 -1
* 0.736 50424 -1
* 0.759 50051 -1
* 0.766 50047 -1
* 0.839 50031 -1
* 0.902 50002 -1
* 0.927 49952 -1
* 0.966 49940 -1
* 1.021 49879 -1
* 1.038 49874 -1
* 1.071 49740 -1
* 1.074 49736 -1
* 1.116 49598 -1
* 1.196 49323 -1
* 1.22 48528 -1
* 1.249 48359 -1
* 1.254 48174 -1
* 1.28 48019 -1
* 1.287 47929 -1
* 1.315 47842 -1
* 1.431 46365 -1
* 1.443 45908 -1
* 1.471 45830 -1
* 1.509 45803 -1
* 1.515 45677 -1
* 1.522 44155 -1
* 1.528 43341 -1
* 1.533 43268 -1
* 2.659 42988 -1
* 2.69 42952 -1
* 2.754 42867 -1
* 2.892 42851 -1
* 2.956 42841 -1
* 3.002 42755 -1
* 3.023 42724 -1
* 3.04 42648 -1
* 3.055 42552 -1
* 3.058 42521 -1
* 3.339 42516 -1
* 3.353 42476 -1
* 3.402 42399 -1
* 3.411 42307 -1
* 3.413 41954 -1
* 3.418 41844 -1
* 3.462 41778 -1
* 3.518 41772 -1
* 11.106 41608 -1
* 11.114 41330 -1
* 11.139 41326 -1
* 11.195 41307 -1
* 11.229 41298 -1
* 11.309 41273 -1
* 11.356 41208 -1
* 11.628 41168 -1
* 11.87 41165 -1
* 12.246 41156 -1
* 12.75 41112 -1
* 13.496 41062 -1
* 13.747 41027 -1
* 13.769 41022 -1
* 13.843 40696 -1
* 14.041 40693 -1
* 14.053 40681 -1
* 15.498 40658 -1
* 15.504 40655 -1
* 16.12 40649 -1
* 16.174 40633 -1
* 16.194 40538 -1
* 17.019 40515 -1
* 17.056 40512 -1
* 18.346 40279 -1
* 18.375 40255 -1
* 18.987 40238 -1
* 18.99 40224 -1
* 19.591 40166 -1
* 19.726 40161 -1
* 19.73 40012 -1
* 19.888 39946 -1
* 20.073 39870 -1
* 20.474 39791 -1
* 20.839 39786 -1
* 20.844 39777 -1
* 20.856 39765 -1
* 20.862 39721 -1
* 20.867 39700 -1
* 20.874 39680 -1
* 20.936 39668 -1
* 21.012 39646 -1
* 22.37 39643 -1
* 22.959 39609 -1
* 23.553 39536 -1
* 23.557 39533 -1
* 23.589 39525 -1
* 23.648 39500 -1
* 23.742 39460 -1
* 23.809 39434 -1
* 23.891 39425 -1
* 25.348 39423 -1
* 25.365 39311 -1
* 25.369 39295 -1
* 25.38 39146 -1
* 25.498 39137 -1
* 97.881 39119 -1
* 97.916 39105 -1
* 99.441 39098 -1
* 99.56 39093 -1
* 99.662 39089 -1
* 99.684 39086 -1
* 99.787 39079 -1
* 100.09 39037 -1
* 100.172 39033 -1
* 100.189 38955 -1
* 100.277 38951 -1
* 100.347 38940 -1
* 100.349 38927 -1
* 100.402 38922 -1
* 100.593 38911 -1
* 101.588 38903 -1
* 101.654 38897 -1
* 101.983 38869 -1
* 290.828 38805 -1
* 290.958 38800 -1
* 291.108 38791 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38791
# NUMBER OF BRANCHES: 8987980
# END TIME: 300.016
## Solution with TDTSP times: 
100
96 0
101 372
100 880
98 1346
103 1736
227 2317
41 2733
33 3731
248 4332
60 4923
58 5411
231 5641
39 5976
42 6366
122 6680
47 6920
126 7170
121 7486
46 7747
37 7940
43 8289
44 8746
32 9236
149 9620
158 9899
155 10243
189 10589
166 10934
159 37468
