100 0
203 201 0
88 83 0
56 218 0
253 211 0
227 200 0
47 187 0
170 223 0
115 74 0
218 270 0
112 274 0
95 295 0
51 278 0
233 257 0
173 251 0
104 188 0
59 297 0
37 215 0
87 270 0
86 100 0
243 78 0
146 160 0
105 94 0
1 72 0
187 188 0
17 70 0
251 218 0
58 134 0
5 234 0
184 227 0
110 119 0
222 212 0
55 278 0
61 100 0
132 237 0
119 294 0
7 193 0
149 61 0
41 80 0
235 65 0
83 109 0
45 173 0
121 243 0
156 273 0
229 186 0
10 67 0
78 136 0
22 216 0
116 61 0
36 97 0
135 123 0
248 200 0
40 290 0
214 288 0
148 192 0
152 211 0
167 180 0
199 293 0
60 74 0
133 273 0
252 122 0
209 274 0
14 253 0
223 210 0
238 116 0
138 256 0
225 214 0
137 196 0
216 294 0
97 107 0
140 122 0
81 167 0
96 276 0
46 238 0
176 108 0
118 79 0
179 160 0
131 65 0
123 67 0
11 218 0
212 191 0
232 192 0
134 75 0
237 115 0
114 226 0
113 222 0
76 283 0
75 86 0
171 100 0
230 298 0
186 167 0
73 293 0
71 288 0
120 273 0
106 70 0
254 154 0
206 69 0
168 292 0
28 167 0
157 173 0
4 203 0
