# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.013 56914 -1
* 0.016 56229 -1
* 0.025 55132 -1
* 0.037 54637 -1
* 0.052 54210 -1
* 0.219 54190 -1
* 0.229 54128 -1
* 0.283 53990 -1
* 11.539 53791 -1
* 11.542 53788 -1
* 11.546 53716 -1
* 11.548 53586 -1
* 11.696 53524 -1
* 12.323 53505 -1
* 12.332 53492 -1
* 12.335 53328 -1
* 12.341 53315 -1
* 12.38 53303 -1
* 12.409 53222 -1
* 12.413 52995 -1
* 12.44 52940 -1
* 12.449 52901 -1
* 12.451 52843 -1
* 12.604 52664 -1
* 12.673 52529 -1
* 13.132 52503 -1
* 13.148 52490 -1
* 13.178 52470 -1
* 13.206 52466 -1
* 13.209 52465 -1
* 13.26 52275 -1
* 13.328 52161 -1
* 13.354 52143 -1
* 13.711 52075 -1
* 13.729 52054 -1
* 13.754 51972 -1
* 13.783 51940 -1
* 13.796 51684 -1
* 13.865 51615 -1
* 13.87 51553 -1
* 14.27 51137 -1
* 14.276 51021 -1
* 14.278 50886 -1
* 14.289 50883 -1
* 14.298 50869 -1
* 14.309 50813 -1
* 15.551 50721 -1
* 15.625 50663 -1
* 15.628 50652 -1
* 15.632 50616 -1
* 15.77 50594 -1
* 16.126 50560 -1
* 16.314 50411 -1
* 16.317 50299 -1
* 16.364 50099 -1
* 18.111 49832 -1
* 19.21 49443 -1
* 19.233 49418 -1
* 19.235 49316 -1
* 19.251 49220 -1
* 19.254 49125 -1
* 19.27 49016 -1
* 19.272 48954 -1
* 19.274 48737 -1
* 19.305 48579 -1
* 19.309 48561 -1
* 19.311 48553 -1
* 19.317 48485 -1
* 22.581 48450 -1
* 22.887 48340 -1
* 22.889 48329 -1
* 22.965 48320 -1
* 22.967 48209 -1
* 32.397 47863 -1
* 32.402 47834 -1
* 32.414 47747 -1
* 32.436 47719 -1
* 33.256 47088 -1
* 33.275 46897 -1
* 33.344 46874 -1
* 33.355 46654 -1
* 33.401 46641 -1
* 33.585 46602 -1
* 33.593 46322 -1
* 33.612 46306 -1
* 33.635 46137 -1
* 33.684 46105 -1
* 33.738 46103 -1
* 34.322 45991 -1
* 34.339 45983 -1
* 38.369 45611 -1
* 38.599 45173 -1
* 43.635 44939 -1
* 43.637 44868 -1
* 43.802 44861 -1
* 43.836 44842 -1
* 43.897 44790 -1
* 43.909 44774 -1
* 44.052 44677 -1
* 44.179 44565 -1
* 44.188 44485 -1
* 44.227 44461 -1
* 44.269 44436 -1
* 44.51 44348 -1
* 44.646 44340 -1
* 46.469 44330 -1
* 47.921 44219 -1
* 47.943 44163 -1
* 49.249 43998 -1
* 50.433 43519 -1
* 50.451 43441 -1
* 50.583 43416 -1
* 50.863 43385 -1
* 50.945 43374 -1
* 51.978 43356 -1
* 52.597 43341 -1
* 55.964 43323 -1
* 56.057 43305 -1
* 56.206 43264 -1
* 56.369 43241 -1
* 56.682 43239 -1
* 59.03 43177 -1
* 59.079 43126 -1
* 59.086 43124 -1
* 59.297 43119 -1
* 72.179 43015 -1
* 72.189 42994 -1
* 72.204 42993 -1
* 72.238 42973 -1
* 73.028 42948 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42948
# NUMBER OF BRANCHES: 7732888
# END TIME: 300.03
## Solution with TDTSP times: 
100
63 0
53 266
187 573
158 904
155 1258
189 1574
147 1843
32 2075
126 2448
46 2669
231 3053
58 3501
56 3941
60 4386
125 4678
248 5058
59 5781
62 6172
228 6776
51 7297
227 22773
41 22955
98 23682
100 23906
