ILOG_CSV_FORMAT,1.1,,,,,,,,,,

GENERAL|NAMES,date,time,hostName,CPU,MHz,memory,search,comment,timeLimit,commandLine,
GENERAL|KEYS,0,0,0,0,0,0,0,0,0,0,
GENERAL,,,,,,,SchedulerLNS,,1.#INF,-search SchedulerLNS -result ResultRCPSP.csv -scenarii c:\ilog\scheduler-papers\mista-2007\scenarii\RCPSP\scenario.csv,

RESULT|NAMES, modeler, instance, modelParams, time, numberOfSolutions, acceptable, lb, ub, completion, objectiveSense, runId
RESULT|KEYS,1,1,1,0,0,0,0,0,0,0,0
RESULT, RCPSP, KSD/j120_1_1.rcp, ,108.236,14,0,99,106,100,-1,0
RESULT, RCPSP, KSD/j120_1_2.rcp, ,18.0259,11,0,86,112,100,-1,0
RESULT, RCPSP, KSD/j120_1_3.rcp, ,42.0505,9,0,82,127,100,-1,0
RESULT, RCPSP, KSD/j120_1_4.rcp, ,45.8559,9,0,79,97,100,-1,0
RESULT, RCPSP, KSD/j120_1_5.rcp, ,41.5197,8,0,94,112,100,-1,0
RESULT, RCPSP, KSD/j120_1_6.rcp, ,291.389,13,0,65,84,100,-1,0
RESULT, RCPSP, KSD/j120_1_7.rcp, ,7.68104,8,0,98,118,100,-1,0
RESULT, RCPSP, KSD/j120_1_8.rcp, ,8.53227,5,0,85,112,100,-1,0
RESULT, RCPSP, KSD/j120_1_9.rcp, ,86.1539,22,0,89,112,100,-1,0
RESULT, RCPSP, KSD/j120_1_10.rcp, ,22.9931,9,0,89,109,100,-1,0
RESULT, RCPSP, KSD/j120_2_1.rcp, ,6.28904,5,0,70,88,100,-1,0
RESULT, RCPSP, KSD/j120_2_2.rcp, ,39.0161,3,0,73,75,100,-1,0
RESULT, RCPSP, KSD/j120_2_3.rcp, ,54.1679,8,0,78,93,100,-1,0
RESULT, RCPSP, KSD/j120_2_4.rcp, ,34.4495,9,0,88,95,100,-1,0
RESULT, RCPSP, KSD/j120_2_5.rcp, ,11.5366,10,0,91,103,100,-1,0
RESULT, RCPSP, KSD/j120_2_6.rcp, ,25.0761,3,0,75,93,100,-1,0
RESULT, RCPSP, KSD/j120_2_7.rcp, ,7.22038,5,0,84,90,100,-1,0
RESULT, RCPSP, KSD/j120_2_8.rcp, ,7.46073,4,0,77,83,100,-1,0
RESULT, RCPSP, KSD/j120_2_9.rcp, ,8.29192,5,0,92,95,100,-1,0
RESULT, RCPSP, KSD/j120_2_10.rcp, ,12.6382,10,0,79,98,100,-1,0
RESULT, RCPSP, KSD/j120_3_1.rcp, ,9.30338,6,0,79,80,100,-1,0
RESULT, RCPSP, KSD/j120_3_2.rcp, ,0.0200288,2,1,88,88,100,-1,0
RESULT, RCPSP, KSD/j120_3_3.rcp, ,0.0200288,2,1,100,100,100,-1,0
RESULT, RCPSP, KSD/j120_3_4.rcp, ,0.0801152,2,1,71,71,100,-1,0
RESULT, RCPSP, KSD/j120_3_5.rcp, ,6.19891,4,0,81,84,100,-1,0
RESULT, RCPSP, KSD/j120_3_6.rcp, ,0.0200288,2,1,102,102,100,-1,0
RESULT, RCPSP, KSD/j120_3_7.rcp, ,0.0701008,2,1,93,93,100,-1,0
RESULT, RCPSP, KSD/j120_3_8.rcp, ,0.0200288,2,1,77,77,100,-1,0
RESULT, RCPSP, KSD/j120_3_9.rcp, ,0.0200288,2,1,86,86,100,-1,0
RESULT, RCPSP, KSD/j120_3_10.rcp, ,0.0100144,2,1,103,103,100,-1,0
RESULT, RCPSP, KSD/j120_4_1.rcp, ,0.0300432,2,0,70,74,100,-1,0
RESULT, RCPSP, KSD/j120_4_2.rcp, ,0.0100144,2,1,107,107,100,-1,0
RESULT, RCPSP, KSD/j120_4_3.rcp, ,0.0200288,2,0,91,95,100,-1,0
RESULT, RCPSP, KSD/j120_4_4.rcp, ,0.0200288,2,1,75,75,100,-1,0
RESULT, RCPSP, KSD/j120_4_5.rcp, ,0.0200288,2,1,74,74,100,-1,0
RESULT, RCPSP, KSD/j120_4_6.rcp, ,0.0200288,2,0,85,90,100,-1,0
RESULT, RCPSP, KSD/j120_4_7.rcp, ,0.0200288,2,1,81,81,100,-1,0
RESULT, RCPSP, KSD/j120_4_8.rcp, ,0.0100144,1,1,90,90,100,-1,0
RESULT, RCPSP, KSD/j120_4_9.rcp, ,0.0200288,2,1,79,79,100,-1,0
RESULT, RCPSP, KSD/j120_4_10.rcp, ,0.0200288,2,1,77,77,100,-1,0
RESULT, RCPSP, KSD/j120_5_1.rcp, ,0.0200288,1,1,92,92,100,-1,0
RESULT, RCPSP, KSD/j120_5_2.rcp, ,0.0200288,2,1,80,80,100,-1,0
RESULT, RCPSP, KSD/j120_5_3.rcp, ,0.0200288,2,1,72,72,100,-1,0
RESULT, RCPSP, KSD/j120_5_4.rcp, ,0.0100144,2,1,97,97,100,-1,0
RESULT, RCPSP, KSD/j120_5_5.rcp, ,0.0200288,2,1,77,77,100,-1,0
RESULT, RCPSP, KSD/j120_5_6.rcp, ,0.0200288,2,1,88,88,100,-1,0
RESULT, RCPSP, KSD/j120_5_7.rcp, ,0.0100144,1,1,84,84,100,-1,0
RESULT, RCPSP, KSD/j120_5_8.rcp, ,0.0200288,2,1,78,78,100,-1,0
RESULT, RCPSP, KSD/j120_5_9.rcp, ,0.0200288,2,1,106,106,100,-1,0
RESULT, RCPSP, KSD/j120_5_10.rcp, ,0.0200288,2,1,92,92,100,-1,0
RESULT, RCPSP, KSD/j120_6_1.rcp, ,208.029,18,0,75,155,100,-1,0
RESULT, RCPSP, KSD/j120_6_2.rcp, ,224.683,13,0,72,140,100,-1,0
RESULT, RCPSP, KSD/j120_6_3.rcp, ,149.835,25,0,85,136,100,-1,0
RESULT, RCPSP, KSD/j120_6_4.rcp, ,247.526,24,0,98,165,100,-1,0
RESULT, RCPSP, KSD/j120_6_5.rcp, ,164.276,12,0,72,131,100,-1,0
RESULT, RCPSP, KSD/j120_6_6.rcp, ,188.03,27,0,71,165,100,-1,0
RESULT, RCPSP, KSD/j120_6_7.rcp, ,58.6543,14,0,112,175,100,-1,0
RESULT, RCPSP, KSD/j120_6_8.rcp, ,124.719,24,0,103,161,100,-1,0
RESULT, RCPSP, KSD/j120_6_9.rcp, ,173.189,27,0,87,165,100,-1,0
RESULT, RCPSP, KSD/j120_6_10.rcp, ,141.403,17,0,93,177,100,-1,0
RESULT, RCPSP, KSD/j120_7_1.rcp, ,58.2938,8,0,76,105,100,-1,0
RESULT, RCPSP, KSD/j120_7_2.rcp, ,277.629,10,0,98,118,100,-1,0
RESULT, RCPSP, KSD/j120_7_3.rcp, ,38.916,7,0,90,104,100,-1,0
RESULT, RCPSP, KSD/j120_7_4.rcp, ,169.894,12,0,85,115,100,-1,0
RESULT, RCPSP, KSD/j120_7_5.rcp, ,148.704,13,0,87,137,100,-1,0
RESULT, RCPSP, KSD/j120_7_6.rcp, ,144.888,14,0,96,129,100,-1,0
RESULT, RCPSP, KSD/j120_7_7.rcp, ,97.6104,6,0,93,123,100,-1,0
RESULT, RCPSP, KSD/j120_7_8.rcp, ,19.4079,4,0,65,101,100,-1,0
RESULT, RCPSP, KSD/j120_7_9.rcp, ,91.4014,6,0,79,92,100,-1,0
RESULT, RCPSP, KSD/j120_7_10.rcp, ,266.693,14,0,84,122,100,-1,0
RESULT, RCPSP, KSD/j120_8_1.rcp, ,107.975,8,1,95,95,100,-1,0
RESULT, RCPSP, KSD/j120_8_2.rcp, ,266.603,7,0,90,105,100,-1,0
RESULT, RCPSP, KSD/j120_8_3.rcp, ,102.658,7,0,88,97,100,-1,0
RESULT, RCPSP, KSD/j120_8_4.rcp, ,37.9446,8,0,89,97,100,-1,0
RESULT, RCPSP, KSD/j120_8_5.rcp, ,126.512,6,0,91,107,100,-1,0
RESULT, RCPSP, KSD/j120_8_6.rcp, ,296.747,6,0,82,88,100,-1,0
RESULT, RCPSP, KSD/j120_8_7.rcp, ,87.1653,5,0,87,89,100,-1,0
RESULT, RCPSP, KSD/j120_8_8.rcp, ,38.265,6,0,87,89,100,-1,0
RESULT, RCPSP, KSD/j120_8_9.rcp, ,160.23,5,0,83,96,100,-1,0
RESULT, RCPSP, KSD/j120_8_10.rcp, ,103.409,8,0,83,94,100,-1,0
RESULT, RCPSP, KSD/j120_9_1.rcp, ,0.0300432,2,1,88,88,100,-1,0
RESULT, RCPSP, KSD/j120_9_2.rcp, ,0.0200288,2,1,94,94,100,-1,0
RESULT, RCPSP, KSD/j120_9_3.rcp, ,0.0300432,2,1,87,87,100,-1,0
RESULT, RCPSP, KSD/j120_9_4.rcp, ,61.5986,4,0,80,88,100,-1,0
RESULT, RCPSP, KSD/j120_9_5.rcp, ,0.0200288,2,1,114,114,100,-1,0
RESULT, RCPSP, KSD/j120_9_6.rcp, ,24.355,7,1,98,98,100,-1,0
RESULT, RCPSP, KSD/j120_9_7.rcp, ,0.0300432,2,1,80,80,100,-1,0
RESULT, RCPSP, KSD/j120_9_8.rcp, ,0.0400576,2,1,80,80,100,-1,0
RESULT, RCPSP, KSD/j120_9_9.rcp, ,7.92139,5,1,87,87,100,-1,0
RESULT, RCPSP, KSD/j120_9_10.rcp, ,0.0300432,2,1,84,84,100,-1,0
RESULT, RCPSP, KSD/j120_10_1.rcp, ,0.0300432,2,1,111,111,100,-1,0
RESULT, RCPSP, KSD/j120_10_2.rcp, ,0.0200288,2,1,91,91,100,-1,0
RESULT, RCPSP, KSD/j120_10_3.rcp, ,0.0200288,2,1,99,99,100,-1,0
RESULT, RCPSP, KSD/j120_10_4.rcp, ,0.540778,2,1,95,95,100,-1,0
RESULT, RCPSP, KSD/j120_10_5.rcp, ,0.0400576,2,1,97,97,100,-1,0
RESULT, RCPSP, KSD/j120_10_6.rcp, ,0.0100144,1,1,92,92,100,-1,0
RESULT, RCPSP, KSD/j120_10_7.rcp, ,3.72536,2,1,79,79,100,-1,0
