0.26755	0.01	0.1	1342.21	69.9022
0.80265	0.64	0.674499	1333.17	64.8453
1.33775	1.81	1.14323	1312.88	70.5217
1.87285	3.31	1.34611	1293.56	71.2963
2.40795	4.29	1.59731	1288.76	72.7308
2.94305	5.98	1.82563	1280.85	71.8982
3.47815	7.69	2.394	1277.65	67.384
4.01325	9.59	2.4083	1274.97	65.209
4.54835	11.58	2.69373	1269.87	64.1033
5.08345	13.3	3.02013	1266.63	65.7503
5.61855	15.13	3.24941	1267.81	66.0816
6.15365	17.1	3.10913	1265.52	69.1189
6.68875	18.47	3.15734	1266.19	67.8097
7.22385	20.22	3.5379	1261.06	68.6157
10.96955	31.08	4.24902	1259.06	71.1206
21.67155	54.33	4.48354	1257.4	68.4555
32.37355	66.86	5.09906	1258.57	68.497
43.07555	73.71	4.69966	1256.98	69.4191
53.77755	78.66	3.88267	1257.81	69.2269
64.47955	82.2	4.0377	1256.59	68.8666
75.18155	84.65	3.18258	1256.61	69.4719
85.88355	86.85	3.44473	1257.42	69.854
96.58555	88.5	3.16068	1257.5	69.7376
107.2876	89.98	3.12365	1257.67	69.3764
117.9896	90.82	2.93836	1257.18	69.4264
128.6916	91.59	2.67459	1257.24	69.3595
139.3936	92	2.892	1257.15	69.4229
