0.1	0	0	1352.48	72.5887
0.2	0	0	1352.19	72.6116
0.3	0	0	1352.19	72.6116
0.4	0	0	1352.76	72.4409
0.5	0	0	1352.48	72.5887
0.6	0.04	0.196946	1352.48	72.6032
0.7	0.06	0.238683	1348.13	66.6859
0.8	0.06	0.238683	1348.54	66.4843
0.9	0.2	0.449467	1345.32	69.2808
1	0.28	0.494004	1340.41	66.3746
1.1	0.4	0.586033	1337.51	67.1299
1.2	0.56	0.686375	1336.07	65.6158
1.3	0.64	0.659354	1329.31	68.32
1.4	0.79	0.700577	1328.37	64.0043
1.5	0.94	0.763035	1320.01	66.5044
1.6	1.18	0.880542	1314.62	66.1645
1.7	1.44	0.988009	1310.46	68.6066
1.8	1.75	1.1044	1309	69.5685
1.9	2.05	1.1315	1303.81	66.1776
2	2.28	1.17275	1297.55	68.5679
2.1	2.45	1.19236	1297.27	67.0418
2.2	2.72	1.16411	1292.68	65.2429
2.3	3.07	1.25734	1289.83	72.7661
2.4	3.38	1.29318	1286.2	70.5566
2.5	3.81	1.36844	1284.07	67.9284
2.6	4.12	1.47901	1284.45	70.9855
2.7	4.46	1.6107	1282.54	69.1922
2.8	4.73	1.54955	1281.83	65.3853
2.9	5.02	1.6936	1281	66.905
3	5.34	1.62195	1282.13	65.8626
3.1	5.89	1.61992	1279.72	67.8966
3.2	6.1	1.61746	1277.57	67.9822
3.3	6.58	1.65865	1276.18	69.3153
3.4	6.73	1.78577	1275.22	70.4424
3.5	7.35	1.8661	1275.21	71.4758
3.6	7.56	1.91917	1274.36	70.5323
3.7	7.92	2.0235	1271.93	68.7546
3.8	8.41	1.93373	1271.76	68.9234
3.9	8.81	2.05822	1271.4	68.5785
4	8.91	2.05527	1271.25	69.0286
4.1	9.38	1.98367	1268.98	69.0817
5	13.14	2.10828	1267.92	64.7826
6	16.92	2.28601	1263.22	65.2468
7	20.77	2.55784	1265.4	64.7425
8	24.79	3.12467	1263.2	67.9715
9	28.42	3.26654	1262.7	68.3805
10	31.79	3.06593	1260.51	67.9046
11	35.69	2.83091	1260.47	67.5489
15	47.83	3.62387	1259.41	69.8125
20	60.45	3.54017	1261.14	69.04
25	69.98	2.90238	1262.15	67.8729
30	76.99	3.58305	1260.51	69.2584
35	83.04	3.09094	1258.54	68.1316
40	87.06	3.17764	1257.93	68.3837
45	90.08	2.58074	1257.69	68.7859
50	92.11	2.22427	1257.98	68.851
55	93.63	2.02337	1258.22	68.9091
60	94.54	1.74321	1258.04	69.1932
65	95.36	1.66679	1258.21	68.645
