50	20	3	20	573550939.749674	19426.9288
42792	18473	59361	9999	15413	6973	41583	51404	61394	13664	41848	35468	16729	20346	18076	11689	46221	55017	17197	102833	
14010	13846	41673	88952	86135	48723	73270	71716	42410	44341	4577	83809	44070	12978	73777	942	52701	59945	20116	16852	
22631	35529	105117	66433	70387	102774	66858	106298	93713	20474	65979	9904	82149	15503	48951	112734	95150	34130	38410	19671	
13548	2319	16762	92011	57141	62775	43414	73900	66194	20669	48957	71585	10749	94411	57039	63691	36595	74647	59883	100981	
86507	85162	22629	482	59106	82385	101607	11424	39973	30320	31607	2517	84397	70666	46900	95456	110055	64614	57494	19608	
50565	33606	50816	26351	44844	84171	52021	63324	25190	84787	70406	59136	104023	26182	48340	52083	44946	28681	25790	49533	
18641	55606	8487	78749	96638	73916	53044	67348	44391	2159	36847	52047	99549	42041	28213	13587	61417	22151	31428	56568	
5268	37635	77221	104085	67042	8626	112375	82610	82003	91940	55348	39444	86228	113815	25297	15640	121096	100836	2865	70491	
4778	98163	41382	2055	28145	77391	60576	39529	19935	95975	100297	23781	71432	52847	33594	86001	62246	55499	27246	47994	
51351	54603	21735	3485	36651	56086	990	99878	60665	96389	36449	30603	65459	25280	25588	7785	28889	32514	7271	3155	
48310	31397	22386	22518	14024	9021	8940	58488	53210	81706	84256	30009	29121	91114	32150	61025	40626	42248	34126	39250	
1381	3161	77300	12773	65531	92246	33852	98702	111208	23132	26021	22633	57829	99840	49912	72908	62145	88110	98257	80159	
3543	39812	53463	64540	79413	81562	44226	67945	17341	12991	62628	32277	11537	42430	31152	4321	607	62770	84222	51036	
2166	18881	100717	32810	5258	29332	124198	54848	57150	30841	57712	73968	81410	47966	71492	110218	27013	92936	78079	54750	
85520	7697	67910	65965	85170	52997	104737	92904	68580	134104	85446	41423	79976	31325	106109	93504	18683	20130	78220	1139	
31173	82267	93405	49709	28502	11812	61183	101251	60898	107742	14729	45987	10754	1093	26719	27773	26889	63463	37253	43125	
60295	46859	47745	24091	75778	2253	27259	65497	45271	88178	75003	41980	43126	105883	7365	77312	51970	11321	19576	91153	
42331	87869	41274	13547	9701	44532	82564	24966	21517	79615	90273	35538	21063	72121	36765	11259	35048	12573	2803	96913	
87303	37483	12247	22261	19877	72622	77484	9231	54888	32837	29290	38648	39287	121945	9384	16326	88878	37343	71410	91712	
57718	25264	76030	44217	78538	38604	8293	84965	76796	31722	14387	115265	85136	18870	32197	79885	557	116550	50388	45930	
55386	48736	39488	39910	9557	80530	78103	46075	14880	19307	26182	14554	89576	88173	8511	88856	87579	48517	92187	51144	
42555	77654	41114	3149	54276	8044	61371	34208	46053	57828	3052	16329	44127	12207	63298	31806	3661	4405	3906	55640	
