100 0
78 126 0
222 240 0
33 185 0
54 92 0
176 187 0
112 263 0
0 157 0
143 283 0
44 177 0
30 271 0
246 149 0
79 257 0
218 194 0
80 212 0
66 240 0
100 117 0
96 152 0
19 165 0
211 157 0
41 102 0
97 268 0
87 236 0
195 262 0
225 298 0
185 166 0
144 267 0
237 94 0
241 231 0
199 70 0
46 279 0
32 278 0
98 277 0
162 147 0
232 105 0
36 134 0
220 211 0
247 114 0
188 98 0
160 170 0
29 169 0
183 137 0
248 223 0
119 282 0
171 94 0
56 68 0
227 62 0
125 255 0
168 204 0
207 199 0
132 96 0
26 99 0
217 273 0
161 133 0
3 192 0
121 137 0
122 199 0
223 289 0
124 210 0
177 285 0
182 294 0
239 196 0
203 159 0
109 284 0
172 295 0
204 78 0
104 112 0
159 167 0
28 172 0
179 96 0
164 73 0
236 228 0
201 95 0
25 105 0
6 201 0
226 294 0
131 185 0
16 191 0
71 238 0
249 126 0
150 100 0
88 240 0
206 254 0
233 177 0
92 291 0
108 250 0
85 179 0
14 204 0
99 208 0
94 72 0
200 167 0
178 86 0
11 214 0
252 158 0
15 209 0
244 117 0
215 240 0
10 295 0
38 94 0
137 132 0
238 225 0
