100 0
32 118 0
51 127 0
99 93 0
14 134 0
120 142 0
167 105 0
92 164 0
87 81 0
127 255 0
130 279 0
2 73 0
211 296 0
60 203 0
64 143 0
41 294 0
113 282 0
40 231 0
73 86 0
178 130 0
229 115 0
96 124 0
111 270 0
15 260 0
52 260 0
9 158 0
1 207 0
209 162 0
199 210 0
100 187 0
241 90 0
168 142 0
243 203 0
253 213 0
194 217 0
16 292 0
22 110 0
214 195 0
10 91 0
101 189 0
132 186 0
89 101 0
43 94 0
197 184 0
196 215 0
83 247 0
216 110 0
75 217 0
226 69 0
236 264 0
53 142 0
252 146 0
5 258 0
172 91 0
246 84 0
245 65 0
251 272 0
63 141 0
12 153 0
247 250 0
218 278 0
115 72 0
123 257 0
55 199 0
11 101 0
102 296 0
4 264 0
3 269 0
17 110 0
86 253 0
173 254 0
78 209 0
201 146 0
204 64 0
190 149 0
146 235 0
30 266 0
232 185 0
8 168 0
35 185 0
70 264 0
114 64 0
157 206 0
72 199 0
193 142 0
21 258 0
228 271 0
242 94 0
26 62 0
176 294 0
105 102 0
68 107 0
145 209 0
250 257 0
192 216 0
206 209 0
244 204 0
65 231 0
44 244 0
202 273 0
169 159 0
