100 0
235 228 0
33 251 0
71 190 0
149 129 0
82 212 0
246 74 0
23 89 0
189 261 0
198 165 0
106 167 0
90 253 0
160 173 0
27 214 0
190 92 0
60 152 0
105 90 0
212 241 0
220 182 0
207 197 0
150 257 0
163 150 0
156 282 0
195 264 0
132 241 0
64 90 0
102 243 0
42 137 0
97 163 0
79 79 0
140 95 0
56 69 0
197 227 0
20 102 0
211 170 0
93 162 0
44 78 0
50 66 0
66 187 0
199 290 0
86 188 0
13 191 0
237 158 0
166 73 0
239 80 0
165 163 0
65 226 0
180 162 0
29 270 0
136 212 0
184 228 0
101 254 0
127 141 0
95 138 0
128 203 0
243 287 0
145 205 0
15 198 0
247 261 0
83 197 0
240 250 0
49 114 0
36 178 0
167 198 0
2 81 0
133 203 0
67 176 0
32 227 0
63 178 0
203 109 0
175 295 0
35 185 0
242 215 0
123 206 0
228 246 0
121 213 0
89 260 0
188 190 0
99 188 0
87 108 0
216 272 0
249 253 0
206 140 0
172 106 0
45 115 0
96 190 0
162 139 0
168 137 0
200 112 0
118 122 0
98 188 0
176 132 0
11 149 0
171 104 0
48 254 0
19 188 0
141 192 0
72 187 0
233 212 0
115 235 0
142 68 0
