ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,SingleMachineEarliTardi,SKS/sks524l.txt,,77519,,,,77519,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks524r.txt,,35160,,,,35160,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks525e.txt,,44885,,,,44885,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks527q.txt,,18706,,,,18706,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks538l.txt,,12489,,,,12489,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks544b.txt,,32682,,,,32682,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks545s.txt,,26683,,,,26683,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks555a.txt,,19781,,,,19781,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks576l.txt,,14163,,,,14163,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks587s.txt,,18588,,,,18588,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks526u.txt,,0,,,,38051,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks543k.txt,,0,,,,30849,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks545z.txt,,0,,,,27455,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks556u.txt,,0,,,,17090,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks563a.txt,,0,,,,27590,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks564g.txt,,0,,,,31302,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks565a.txt,,0,,,,21073,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks566f.txt,,0,,,,18058,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks568x.txt,,0,,,,11650,,,
BESTSOFAR,SingleMachineEarliTardi,SKS/sks585x.txt,,0,,,,22765,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_21.txt,,1215688.67,,,,1241950,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_33.txt,,825013.58,,,,836286,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_65.txt,,1630922.89,,,,1659231,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_66.txt,,2720987.61,,,,2738845,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_75.txt,,2703753.82,,,,2737821,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_129.txt,,3333021.95,,,,3407414,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_178.txt,,3633135.29,,,,3651789,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_199.txt,,2932066.48,,,,2974934,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_251.txt,,11094424,,,,11131513,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky100_298.txt,,6913028.19,,,,6962141,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_3.txt,,4863520.4,,,,4971667,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_4.txt,,5317123.58,,,,5378151,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_64.txt,,5879030.06,,,,5957791,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_74.txt,,13485119.43,,,,13716648,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_107.txt,,5520158.49,,,,5585045,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_218.txt,,16166389.17,,,,16238878,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_219.txt,,12390622.3,,,,12526464,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_265.txt,,21171454.96,,,,21345342,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_269.txt,,32178497.8,,,,32470446,,,
BESTSOFAR,SingleMachineEarliTardi,BKY/bky200_286.txt,,11757326.22,,,,11870994,,,
