Stations = {
  <"POGO", 1, 13>,  // station name, station id, number of antennas
  <"HULA", 2, 7>,
  <"COOK", 3, 12>,
  <"INDI", 4, 2>,
  <"BOSS", 5, 10>,
  <"LION", 6, 9>,
  <"GUAM", 7, 5>,
  <"PIKE", 8, 6>,
  <"REEF", 9, 1>,
  <"HAWK", 10, 10>,
  <"DICE", 11, 7>,
  <"EVCF", 12, 10>,
  <"SUN3", 13, 5>,
};

Alternatives = {
  <"1",6,1800,1422,3600>, // task id, station id, earliest start time, duration, latest end time
  <"1A",6,3960,976,5760>,
  <"1B",6,4500,1382,6300>,
  <"2",1,1380,1558,3480>,
  <"2A",1,3780,1367,5880>,
  <"2B",1,1800,1531,3900>,
  <"3",2,2160,1372,4080>,
  <"3A",2,4860,1071,6780>,
  <"3B",2,2940,1215,4860>,
  <"4",3,3900,1171,6060>,
  <"4A",3,6600,1382,8760>,
  <"4B",3,6360,1432,8520>,
  <"5",6,3600,1638,5580>,
  <"5A",6,7140,1520,9120>,
  <"5B",6,6240,1312,8220>,
  <"6",9,5220,1291,7380>,
  <"6A",9,5700,1593,7860>,
  <"6B",9,6840,1896,9000>,
  <"7",1,7500,1154,9720>,
  <"7A",1,9240,2050,11460>,
  <"7B",1,9240,1954,11460>,
  <"8",7,6480,2057,8580>,
  <"8A",7,8100,1115,10200>,
  <"8B",7,9840,1448,11940>,
  <"9",1,6660,1841,8880>,
  <"9A",1,7920,2101,10140>,
  <"9B",1,7800,1458,10020>,
  <"10",5,8220,980,10140>,
  <"10A",5,10680,1558,12600>,
  <"10B",5,10260,1715,12180>,
  <"11",6,8760,1498,10800>,
  <"11A",6,9780,1021,11820>,
  <"11B",6,10740,1603,12780>,
  <"12",1,8940,1164,11160>,
  <"12A",1,11820,1367,14040>,
  <"12B",1,11700,2151,13920>,
  <"13",5,5700,1591,7500>,
  <"13A",5,7140,1329,8940>,
  <"13B",5,7980,1588,9780>,
  <"14",1,7740,1392,9600>,
  <"14A",1,8880,1592,10740>,
  <"14B",1,9360,1224,11220>,
  <"15",1,8640,1580,10860>,
  <"15A",1,9960,2070,12180>,
  <"15B",1,8760,1379,10980>,
  <"16",6,8580,1049,10620>,
  <"16A",6,8820,1834,10860>,
  <"16B",6,11100,1866,13140>,
  <"17",2,10260,1532,12120>,
  <"17A",2,12360,1325,14220>,
  <"17B",2,13740,1843,15600>,
  <"18",2,8940,1468,10980>,
  <"18A",2,10920,1246,12960>,
  <"18B",2,9720,1211,11760>,
  <"19",1,11520,1174,13680>,
  <"19A",1,13620,1949,15780>,
  <"19B",1,15060,1796,17220>,
  <"20",1,12060,1466,13980>,
  <"20A",1,12360,1219,14280>,
  <"20B",1,13380,1225,15300>,
  <"21",1,10860,2050,13020>,
  <"21A",1,14100,1281,16260>,
  <"21B",1,11760,1517,13920>,
  <"22",8,13200,1035,15000>,
  <"22A",8,14700,1072,16500>,
  <"22B",8,13800,1477,15600>,
  <"23",6,12720,1300,14640>,
  <"23A",6,14160,1914,16080>,
  <"23B",6,15180,1190,17100>,
  <"24",1,13680,1268,15900>,
  <"24A",1,13920,1883,16140>,
  <"24B",1,17160,2193,19380>,
  <"25",6,12360,1290,14280>,
  <"25A",6,14280,1769,16200>,
  <"25B",6,15180,1445,17100>,
  <"26",1,13740,1720,16080>,
  <"26A",1,16800,1538,19140>,
  <"26B",1,15420,2138,17760>,
  <"27",8,14580,1610,16560>,
  <"27A",8,18000,1588,19980>,
  <"27B",8,16140,1348,18120>,
  <"28",5,13440,1918,15540>,
  <"28A",5,15840,2071,17940>,
  <"28B",5,14280,1404,16380>,
  <"29",1,13620,1911,15840>,
  <"29A",1,15180,1925,17400>,
  <"29B",1,15060,1690,17280>,
  <"30",7,15060,1029,16980>,
  <"30A",7,16740,1409,18660>,
  <"30B",7,15720,1796,17640>,
  <"31",2,16020,1859,18180>,
  <"31A",2,19380,1106,21540>,
  <"31B",2,17100,1303,19260>,
  <"32",9,16260,1835,18360>,
  <"32A",9,17460,2082,19560>,
  <"32B",9,18240,1988,20340>,
  <"33",1,18000,2160,20160>,
  <"33A",1,19500,1458,21660>,
  <"33B",1,20820,2048,22980>,
  <"34",1,19140,1266,21300>,
  <"34A",1,19920,2104,22080>,
  <"34B",1,19380,1183,21540>,
  <"35",3,18300,1814,20220>,
  <"35A",3,19800,1369,21720>,
  <"35B",3,18420,1781,20340>,
  <"36",6,19500,1185,21720>,
  <"36A",6,19560,1411,21780>,
  <"36B",6,22500,1552,24720>,
  <"37",1,21240,1431,23280>,
  <"37A",1,22260,1211,24300>,
  <"37B",1,24720,1663,26760>,
  <"38",6,18240,1201,20400>,
  <"38A",6,21120,1347,23280>,
  <"38B",6,20580,1196,22740>,
  <"39",5,19080,1619,21180>,
  <"39A",5,21600,1376,23700>,
  <"39B",5,20820,1700,22920>,
  <"40",5,22140,1952,24120>,
  <"40A",5,22380,1089,24360>,
  <"40B",5,24240,1131,26220>,
  <"41",1,21000,1453,23100>,
  <"41A",1,21780,1902,23880>,
  <"41B",1,22860,2009,24960>,
  <"42",1,21960,1564,23880>,
  <"42A",1,25140,1512,27060>,
  <"42B",1,22080,1450,24000>,
  <"43",1,25380,1971,27600>,
  <"43A",1,26400,1664,28620>,
  <"43B",1,27660,1143,29880>,
  <"44",9,23040,1416,25080>,
  <"44A",9,25500,1749,27540>,
  <"44B",9,23040,1277,25080>,
  <"45",3,23820,1486,25500>,
  <"45A",3,25320,1315,27000>,
  <"45B",3,25320,1507,27000>,
  <"46",1,25980,1214,28200>,
