Instance10PP5Act3Res5TResMinUnc0.0MaxUnc0.0Seed10.dat
37363	7826	72182	59417	15114	
87860	32438	13658	49572	84218	
43920	43734	48108	61053	39169	
94409	93861	56483	60313	22569	
8351	74899	80366	18927	9441	
80545	90208	37151	75256	57210	
69974	43355	40807	56122	46642	
86746	54477	79272	22390	67241	
21482	45550	20570	40263	9634	
78735	80560	9821	77457	70710	
318326	53073	1036432	53073	1754538	53073	2472644	53073	3190750	53073	3908856	53073	4626962	53073	5345068	53073	6063174	53073	6781280	53073	7499386	53073	
50469	99594	588184	99594	1125899	99594	1663614	99594	2201329	99594	2739044	99594	3276759	99594	3814474	99594	4352189	99594	4889904	99594	5427619	99594	5965334	99594	6503049	99594	7040764	99594	7578479	99594	
550439	105669	1300226	105669	2050013	105669	2799800	105669	3549587	105669	4299374	105669	5049161	105669	5798948	105669	6548735	105669	7298522	105669	
458379	52884	1222790	52884	1987201	52884	2751612	52884	3516023	52884	4280434	52884	5044845	52884	5809256	52884	6573667	52884	7338078	52884	
10880	108705	500753	108705	990626	108705	1480499	108705	1970372	108705	2460245	108705	2950118	108705	3439991	108705	3929864	108705	4419737	108705	4909610	108705	5399483	108705	5889356	108705	6379229	108705	6869102	108705	7358975	108705	7848848	108705	
