n = 50;
m = 8;
rd = [0, 1, 3, 9, 17, 28, 32, 35, 39, 45, 47, 49, 49, 51, 68, 74, 77, 110, 121, 148, 155, 159, 162, 174, 183, 185, 187, 188, 198, 200, 202, 218, 220, 225, 234, 234, 253, 254, 255, 260, 273, 276, 284, 288, 295, 299, 300, 306, 310, 328];
dd = [246, 93, 65, 142, 93, 97, 131, 130, 114, 121, 190, 174, 107, 170, 91, 115, 117, 159, 227, 396, 195, 260, 266, 335, 253, 296, 364, 236, 260, 287, 472, 283, 305, 251, 293, 324, 385, 371, 372, 342, 473, 332, 373, 378, 318, 324, 369, 484, 358, 415];
w = [1.874850, 0.819737, 0.498507, 0.799245, 0.380666, 0.360564, 0.745984, 0.565168, 0.274705, 0.904204, 0.878454, 1.449820, 0.277096, 0.661845, 0.192888, 0.297873, 0.421965, 0.284669, 1.222660, 1.196150, 0.332801, 0.291734, 0.919970, 0.780007, 0.653157, 1.426350, 0.950397, 0.304193, 0.479037, 0.461226, 1.275530, 0.714095, 0.558665, 0.368263, 0.248672, 0.785632, 0.859618, 0.869892, 0.662342, 0.415363, 0.779950, 0.462277, 0.586607, 0.360550, 0.574674, 0.263367, 0.778680, 0.980622, 0.678023, 0.351853];

pt = [
[65,14,2,2,2,12,13,21],
[56,4,1,3,5,1,3,14],
[4,5,12,21,3,6,8,1],
[1,5,11,55,2,1,10,1],
[5,1,8,2,4,7,5,11],
[2,4,1,13,1,1,5,9],
[5,4,10,33,4,6,2,8],
[4,5,10,4,5,8,11,7],
[5,4,11,4,2,7,1,6],
[4,3,3,60,4,9,2,9],
[2,5,21,5,4,7,11,15],
[47,2,5,5,5,10,14,14],
[3,2,6,1,2,10,6,1],
[3,4,18,27,3,1,6,3],
[2,5,1,3,5,1,11,1],
[3,5,3,4,1,2,5,14],
[5,4,15,1,1,5,1,8],
[3,2,1,3,4,1,15,7],
[32,11,3,4,4,9,14,7],
[5,2,22,39,5,7,7,1],
[5,4,5,2,5,1,2,14],
[5,2,1,4,5,9,8,8],
[4,5,9,41,1,5,1,5],
[3,4,3,36,5,2,8,3],
[4,1,20,2,1,13,11,13],
[3,4,19,46,4,1,15,4],
[42,2,4,2,5,3,12,11],
[1,5,12,1,3,1,8,2],
[1,4,1,4,5,12,5,19],
[4,3,12,3,3,1,11,3],
[2,3,9,46,3,9,15,7],
[27,23,4,5,3,4,1,1],
[1,16,1,2,2,4,1,12],
[3,1,10,2,1,6,5,5],
[4,1,4,2,3,3,8,10],
[15,27,5,2,5,14,4,1],
[40,7,4,2,5,6,5,4],
[41,17,1,4,5,7,5,1],
[2,3,15,22,3,9,12,6],
[1,27,4,5,2,1,6,3],
[3,1,13,33,4,7,7,2],
[3,2,1,3,2,15,10,2],
[2,2,7,17,4,6,17,1],
[3,1,16,5,3,4,8,5],
[3,4,13,1,3,1,13,16],
[4,3,2,2,3,2,15,2],
[1,4,16,1,2,17,14,1],
[17,6,1,3,1,6,15,22],
[44,1,3,1,4,5,4,8],
[2,2,12,3,5,1,2,18],
];
