1	1	77
1	2	68
1	3	68
1	4	91
1	5	73
1	6	66
1	7	72
1	8	75
1	9	85
1	10	80
2	1	65
2	2	82
2	3	78
2	4	78
2	5	54
2	6	64
2	7	53
2	8	66
2	9	65
2	10	69
3	1	60
3	2	69
3	3	105
3	4	81
3	5	83
3	6	57
3	7	59
3	8	55
3	9	67
3	10	69
4	1	84
4	2	60
4	3	58
4	4	65
4	5	75
4	6	71
4	7	67
4	8	65
4	9	75
4	10	77
5	1	76
5	2	106
5	3	80
5	4	72
5	5	108
5	6	74
5	7	75
5	8	78
5	9	83
5	10	78
6	1	60
6	2	67
6	3	72
6	4	67
6	5	78
6	6	55
6	7	61
6	8	72
6	9	64
6	10	74
7	1	77
7	2	85
7	3	62
7	4	63
7	5	71
7	6	65
7	7	89
7	8	66
7	9	44
7	10	82
8	1	64
8	2	61
8	3	79
8	4	64
8	5	83
8	6	56
8	7	62
8	8	66
8	9	58
8	10	97
9	1	81
9	2	79
9	3	96
9	4	86
9	5	77
9	6	99
9	7	97
9	8	87
9	9	92
9	10	85
10	1	85
10	2	62
10	3	72
10	4	80
10	5	79
10	6	67
10	7	69
10	8	65
10	9	73
10	10	73
11	1	71
11	2	61
11	3	76
11	4	69
11	5	65
11	6	70
11	7	70
11	8	69
11	9	62
11	10	58
12	1	59
12	2	58
12	3	75
12	4	69
12	5	63
12	6	54
12	7	71
12	8	60
12	9	59
12	10	79
13	1	102
13	2	101
13	3	81
13	4	94
13	5	89
13	6	89
13	7	77
13	8	110
13	9	92
13	10	110
14	1	59
14	2	65
14	3	61
14	4	65
14	5	59
14	6	65
14	7	69
14	8	88
14	9	61
14	10	70
15	1	84
15	2	89
15	3	72
15	4	75
15	5	70
15	6	76
15	7	64
15	8	79
15	9	72
15	10	61
16	1	64
16	2	64
16	3	53
16	4	60
16	5	66
16	6	66
16	7	82
16	8	68
16	9	54
16	10	68
17	1	86
17	2	69
17	3	89
17	4	71
17	5	59
17	6	69
17	7	83
17	8	85
17	9	76
17	10	72
18	1	81
18	2	69
18	3	77
18	4	71
18	5	80
18	6	61
18	7	93
18	8	78
18	9	69
18	10	97
19	1	62
19	2	83
19	3	83
19	4	67
19	5	73
19	6	69
19	7	60
19	8	87
19	9	69
19	10	78
20	1	60
20	2	78
20	3	69
20	4	86
20	5	71
20	6	97
20	7	74
20	8	65
20	9	74
20	10	70
21	1	103
21	2	108
21	3	87
21	4	95
