# INSTANCE: InstancesTDTSP/inst_100_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 374352 46800
* 0.02 373437 45808
* 0.08 373324 46205
* 0.12 373137 78741
* 0.13 372608 53304
* 0.17 372421 53123
* 0.17 371832 78474
* 0.18 371767 73929
* 0.19 371441 75588
* 0.2 371355 72950
* 0.22 371273 74487
* 0.25 371267 76105
* 0.28 57677 77152
* 0.3 55130 78982
* 0.31 51223 79675
* 0.38 46940 78695
* 0.39 46555 78226
* 0.48 46350 78037
* 0.52 46198 77932
* 0.53 46177 77932
* 0.58 46157 77980
* 0.6 45809 77694
* 0.61 45743 77741
* 0.67 45430 77477
* 0.71 45408 77459
* 0.72 45301 77335
* 0.73 44932 77128
* 0.76 44825 77028
* 0.87 44679 76869
* 0.89 44566 76869
* 0.91 44441 76869
* 0.93 44438 76869
* 0.93 44065 75946
* 0.98 43824 75772
* 0.99 43778 75728
* 1.04 43765 75778
* 1.05 43723 75675
* 1.07 43698 75675
* 1.07 42849 75233
* 1.07 42824 75003
* 1.08 42778 74959
* 1.18 42627 74902
* 1.18 42588 74598
* 1.2 42429 74598
* 1.21 42414 74348
* 1.21 42346 74285
* 1.22 42311 74285
* 1.23 42259 74215
* 1.24 42130 74131
* 1.26 41743 73915
* 1.29 41705 73915
* 1.37 41701 73812
* 1.39 41197 73304
* 1.4 41150 73304
* 1.41 41149 73225
* 1.45 41057 74388
* 1.49 40941 74388
* 1.5 40835 74388
* 1.5 40442 73481
* 1.51 40436 73481
* 1.52 40414 73761
* 1.52 40395 73761
* 1.52 40316 73713
* 1.54 40284 73795
* 1.58 40052 73447
* 1.58 39522 71154
* 1.58 39420 70990
* 1.6 39326 70964
* 1.61 39298 70962
* 1.62 39218 71140
* 1.63 39099 71112
* 1.68 39061 71112
* 1.69 38990 70910
* 1.73 38802 70397
* 1.74 38787 70362
* 1.75 38719 70362
* 1.81 38650 70369
* 1.85 38535 70369
* 7.59 38338 70369
* 7.87 38319 70347
* 8.17 38309 70347
* 8.18 38308 70347
* 8.5 38267 72665
* 8.57 38187 72763
* 8.75 38175 72143
* 8.8 38109 72143
* 8.84 38095 72226
* 9.23 38082 72308
* 9.25 38022 72019
* 10.69 38017 39034
* 10.71 37996 38630
* 10.71 37927 38616
* 10.73 37913 38678
* 10.97 37909 38625
* 11.14 37888 38655
* 11.66 37855 38617
* 12.01 37849 38665
* 12.38 37840 38577
* 14.48 37699 38051
* 14.82 37601 38380
* 14.89 37568 38029
* 15.85 37566 38483
* 156.3 37409 71009
* 156.3 37399 71009
* 156.34 37180 71009
* 156.34 37133 70957
* 156.34 37034 70943
* 156.36 37029 70968
* 156.36 37028 70968
* 156.37 36992 70968
* 156.37 36987 70967
* 156.37 36964 70967
* 156.38 36931 70968
* 156.38 36899 70968
* 156.4 36891 70979
* 156.47 36888 70979
* 156.5 36886 70978
* 156.55 36863 70978
* 156.57 36861 70978
* 156.59 36836 70941
* 156.81 36827 70914
* 188.39 36806 70853
* 188.48 36788 70853
* 188.91 36768 70490
* 189.05 36735 70490
* 189.22 36717 70490
* 189.31 36672 70490
* 189.39 36640 70490
* 189.48 36629 70490
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 36629
# NUMBER OF BRANCHES: 208905747
# END TIME: 7200
## Solution with TDTSP times: 
100
80 0
79 305
75 660
77 859
208 1070
131 1349
210 1601
70 2032
204 2418
205 2736
69 3014
46 4351
38 4780
122 5008
47 5237
126 5439
65 5683
192 6349
145 6655
151 7440
160 30644
144 30872
37 31187
229 31325
43 31400
121 31673
40 31907
52 32228
61 32522
230 39005
123 39536
45 39857
124 44899
125 45204
232 45452
62 45785
55 46073
135 46351
48 46658
220 47260
215 47551
218 47890
238 48447
90 48639
105 49097
234 49500
104 50033
95 50337
103 50716
50 51121
35 51437
159 52017
156 52316
164 52675
162 53110
161 53425
154 53646
189 53900
155 54228
34 54605
85 54954
221 55383
240 55733
68 56040
209 56404
73 57189
76 57562
118 57960
26 58219
245 58448
233 58681
198 59069
249 59474
197 60092
117 60484
94 60882
116 61673
254 61845
27 62215
9 62910
110 63151
5 63478
112 63720
14 64156
12 64329
106 64684
1 65045
136 65443
137 65786
17 66454
247 66801
109 67003
111 67317
179 67908
183 68285
182 68711
11 69035
173 69248
195 69547
186 69935
# BEST TD SOLUTION: 70490
