# INSTANCE: InstancesTDTSP/inst_100_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 394269 52128
* 0.02 393723 50417
* 0.02 393690 50390
* 0.03 393477 50592
* 0.04 393422 49863
* 0.08 393301 49261
* 0.1 393158 48871
* 0.11 393041 48761
* 0.26 392797 49803
* 0.26 392398 50433
* 0.26 392050 52140
* 0.27 391700 51871
* 0.29 391364 53669
* 0.32 391059 52644
* 0.39 390720 50778
* 0.41 390687 52809
* 0.42 389842 52148
* 0.43 70149 52989
* 0.44 69508 52196
* 0.44 57690 51680
* 0.46 57204 51335
* 0.47 51581 49732
* 0.48 45180 49380
* 0.5 45103 49380
* 0.51 45085 49380
* 0.54 44992 49435
* 0.55 44868 49181
* 0.63 44734 48276
* 0.63 44719 48276
* 0.65 44519 48276
* 0.66 44507 48276
* 0.72 44430 48276
* 0.74 44383 48276
* 0.79 44382 48276
* 1.71 44346 48276
* 1.72 44313 48276
* 1.75 44292 48276
* 1.78 44272 48276
* 9.2 44181 48461
* 9.21 44179 48461
* 9.22 44104 48388
* 9.22 44062 48349
* 9.25 44003 48290
* 9.37 43910 48355
* 9.41 43830 48062
* 9.48 43771 47954
* 9.59 43723 47706
* 9.6 43678 47653
* 9.61 43635 48191
* 9.65 43634 48259
* 9.66 43347 47840
* 9.67 43122 47429
* 9.67 43078 47429
* 9.7 43012 47429
* 9.75 42982 47429
* 9.75 42835 47429
* 9.76 42784 47429
* 9.84 42750 47429
* 9.89 42685 46800
* 10.41 42594 47429
* 11.13 42589 47424
* 11.17 42535 46800
* 11.19 42533 46800
* 11.56 42468 46800
* 12.25 42421 46800
* 12.7 42394 46527
* 13.04 42366 46514
* 13.14 42350 46341
* 14.23 42285 46422
* 14.3 42257 46183
* 14.65 42162 45912
* 14.87 42143 46234
* 15.57 42131 46234
* 16.15 42122 46234
* 16.64 42081 45660
* 17.28 42034 46101
* 17.3 42000 46001
* 17.33 41968 45912
* 17.33 41948 45865
* 17.95 41943 45567
* 18.04 41938 45567
* 20.05 41890 45567
* 20.08 41877 45567
* 21.04 41850 45567
* 21.17 41831 45567
* 59.87 41774 45365
* 59.9 41556 45149
* 59.91 41505 45303
* 59.98 41465 45199
* 59.99 41462 45171
* 60.04 41450 45365
* 60.07 41440 45314
* 60.33 41428 45228
* 66.58 41426 45349
* 85.06 41415 45349
* 92.5 41327 45098
* 92.55 41223 44909
* 93.43 41220 44730
* 94.09 41161 44730
* 97.59 41065 44716
* 99.33 41064 44730
* 99.68 41048 44468
* 112.06 41010 44500
* 112.1 40929 44609
* 112.13 40905 44583
* 113.26 40898 44369
* 127.3 40868 44564
* 127.37 40866 44523
* 127.39 40761 44668
* 127.39 40725 44653
* 127.44 40720 44656
* 127.46 40718 44369
* 127.47 40708 44749
* 127.48 40681 44568
* 127.48 40645 44556
* 127.57 40637 44530
* 127.61 40602 44723
* 127.62 40590 44765
* 127.93 40540 44572
* 128.03 40521 44566
* 128.08 40490 44561
* 128.22 40470 44723
* 128.76 40465 44754
* 128.81 40463 44558
* 128.91 40462 44524
* 128.92 40412 44411
* 133.01 40345 43762
* 133.03 40340 43771
* 133.04 40299 43771
* 133.11 40283 43861
* 133.13 40266 43924
* 133.13 40259 43197
* 133.15 40256 43434
* 133.16 40238 43341
* 133.29 40236 43260
* 133.34 40235 43267
* 133.36 40219 43267
* 133.4 40205 43267
* 133.47 40203 43267
* 133.73 40200 43164
* 133.9 40199 43195
* 133.91 40198 43040
* 133.97 40158 42728
* 134.1 40103 42721
* 134.68 40069 42719
* 135.03 40059 43100
* 135.28 40027 43197
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40027
# NUMBER OF BRANCHES: 187118559
# END TIME: 7200.01
## Solution with TDTSP times: 
100
108 0
9 249
250 618
16 1019
112 1250
7 1596
13 1876
3 2137
114 2667
239 3291
4 3766
109 5078
17 6017
136 7084
139 7740
132 8950
241 9254
225 10193
193 10919
175 11491
84 11997
78 12459
206 12736
76 13008
203 13246
69 13701
70 13894
79 14228
210 14549
77 14820
170 15007
208 15231
83 15462
158 15915
189 16108
155 16442
191 16879
32 17110
151 17481
153 17724
161 18046
162 18375
146 18652
163 18985
160 19071
37 19380
38 19630
127 19712
58 20128
231 20328
243 20456
49 20634
140 20815
121 21117
46 21285
34 21741
54 21942
157 22251
27 22712
217 23089
220 23522
251 23703
25 24081
237 24370
236 24666
246 24910
196 25475
29 26110
245 26377
26 26594
253 26998
45 27542
123 27698
99 28040
134 28456
234 28800
135 29133
48 29484
59 30020
248 30406
227 30898
50 31110
199 31597
95 32089
101 32591
96 32915
89 33415
102 33861
20 34483
201 34964
209 35663
73 36008
129 36592
171 37548
11 37951
182 38395
181 38967
67 39671
226 40443
224 41681
# BEST TD SOLUTION: 43197
