# INSTANCE: InstancesTDTSP/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 71295 -1
* 0.03 69628 -1
* 0.03 48862 -1
* 0.04 47694 -1
* 0.08 47627 -1
* 0.08 47566 -1
* 0.09 47536 -1
* 0.09 47506 -1
* 0.11 47378 -1
* 0.12 47339 -1
* 0.12 47328 -1
* 0.12 47214 -1
* 0.13 47040 -1
* 0.13 46970 -1
* 0.16 46952 -1
* 0.17 46684 -1
* 0.17 46350 -1
* 0.18 46161 -1
* 0.18 46003 -1
* 0.19 45673 -1
* 0.2 45620 -1
* 0.2 45544 -1
* 0.2 45532 -1
* 0.27 45527 -1
* 0.28 45514 -1
* 0.28 45392 -1
* 0.28 45367 -1
* 0.33 45280 -1
* 0.34 45268 -1
* 0.35 45230 -1
* 0.35 45148 -1
* 0.36 45102 -1
* 0.38 45052 -1
* 0.38 45049 -1
* 0.39 45023 -1
* 0.4 45002 -1
* 0.41 44955 -1
* 0.43 44931 -1
* 0.45 44789 -1
* 0.54 44736 -1
* 0.55 44695 -1
* 0.56 44656 -1
* 0.57 44625 -1
* 0.61 44589 -1
* 0.62 44586 -1
* 0.62 44568 -1
* 0.62 44486 -1
* 0.66 44443 -1
* 0.67 44438 -1
* 0.67 44427 -1
* 0.69 44409 -1
* 0.71 44378 -1
* 0.74 44321 -1
* 0.79 44199 -1
* 0.81 43946 -1
* 0.83 43905 -1
* 0.83 43876 -1
* 0.84 43768 -1
* 0.87 43647 -1
* 0.94 43571 -1
* 0.96 43541 -1
* 1.02 43498 -1
* 1.05 43497 -1
* 1.05 43494 -1
* 1.12 43485 -1
* 1.12 43032 -1
* 1.13 42911 -1
* 1.18 42894 -1
* 1.24 42792 -1
* 1.27 42762 -1
* 1.29 42749 -1
* 7.81 42718 -1
* 7.86 42695 -1
* 8.42 42692 -1
* 9.48 42688 -1
* 9.54 42648 -1
* 9.61 42641 -1
* 9.91 42621 -1
* 11.26 42579 -1
* 11.27 42538 -1
* 11.71 42525 -1
* 19.98 42456 -1
* 20.19 42450 -1
* 20.21 42430 -1
* 20.23 42366 -1
* 20.4 42315 -1
* 20.43 42301 -1
* 20.51 42298 -1
* 21.02 42255 -1
* 21.1 42254 -1
* 21.14 42253 -1
* 21.16 42250 -1
* 21.39 42234 -1
* 21.81 42221 -1
* 24.13 42070 -1
* 24.26 42037 -1
* 24.43 42030 -1
* 24.48 41999 -1
* 24.72 41914 -1
* 26.06 41907 -1
* 26.07 41903 -1
* 3240.09 41880 -1
* 3243.84 41862 -1
* 3244.71 41857 -1
* 3244.81 41846 -1
* 3245.68 41842 -1
* 3246 41828 -1
* 3259.81 41813 -1
* 3259.94 41778 -1
* 3265.74 41721 -1
* 3265.75 41691 -1
* 3265.77 41641 -1
* 3266.17 41633 -1
* 3266.18 41623 -1
* 3266.18 41608 -1
* 3266.27 41598 -1
* 3266.29 41557 -1
* 3266.49 41505 -1
* 3275.87 41503 -1
* 6413.65 41482 -1
* 6413.66 41440 -1
* 6413.66 41430 -1
* 6413.72 41428 -1
* 6413.73 41423 -1
* 6413.78 41356 -1
* 6413.79 41311 -1
* 6413.8 41301 -1
* 6413.96 41282 -1
* 6414.04 41279 -1
* 6414.83 41256 -1
* 6420.56 41228 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41228
# NUMBER OF BRANCHES: 195172534
# END TIME: 7200
## Solution with TDTSP times: 
100
172 0
176 228
180 686
195 1341
212 1645
208 2007
131 2294
74 2557
80 2760
79 3060
85 3462
210 3781
70 4382
128 4710
24 5282
54 5678
53 5805
157 5991
149 6362
189 6567
155 6879
187 7200
151 7685
142 8168
141 8410
163 8778
152 9086
121 9541
46 9859
127 10249
43 10629
47 11022
126 11372
65 11506
40 11753
34 12164
76 12752
211 12944
206 13109
202 13579
207 14132
66 14926
209 15346
235 22143
